"","effect_sizes","N_t","N_pers","pre_slope","step","slope","bias_pre_slope","bias_step","bias_slope","Precision_pre_slope","Precision_step","Precision_slope"
"1",0.01,6,100,1,0.04,0.08,6.9418688326253,151.442184011113,71.0231219903057,0.210643533691654,2.39814314481283,1.0490357140724
"2",0.01,6,300,1,0.12,0.4,4.34935953330777,102.927754793336,44.4693186736722,0.107935495595131,1.1701971344448,0.580572013633774
"3",0.01,6,500,1,0.08,0.64,2.74285095194388,53.4173999042496,39.1269188034106,0.0683653979034968,0.807967267340528,0.57126821429078
"4",0.01,6,700,1,0.24,0.76,3.21303652996946,50.4320808953782,31.4878195142291,0.059004555531306,0.605105810307634,0.407958726995733
"5",0.01,6,900,1,0.28,0.92,3.42506811220407,62.7442317691886,34.9093446690587,0.0588973034713053,0.919854945228917,0.498112926648031
"6",0.01,6,1100,1,0.36,1,2.91094266703222,60.5221656493573,33.5433858175266,0.0630835666572477,0.684051198560672,0.407194873955533
"7",0.01,6,1300,1,0.44,0.96,2.76623684593663,50.5427998915751,27.6243308118408,0.0552300363130903,0.547243044946372,0.437927205606731
"8",0.01,8,100,1,0.08,0.4,5.42482802380593,140.705865331135,54.7170342791975,0.105712080172863,1.78270517693399,0.663502265289661
"9",0.01,8,300,1,0.04,0.8,2.82021022061431,69.2922536330734,27.3745222406417,0.0624201471673951,0.745854314947383,0.418982977588587
"10",0.01,8,500,1,0.2,1,2.00357961491176,56.6733072776364,32.6569240343065,0.0306613478904145,0.770716996106326,0.267729822303061
"11",0.01,8,700,1,0.16,1,1.73092101872335,48.9669825526688,22.2400064928217,0.0420009332802206,0.691326770326005,0.246085215331617
"12",0.01,8,900,1,0.28,1,1.92268310435405,45.1439377002782,22.7893234390665,0.0464293679713275,0.713302751770415,0.282557221648444
"13",0.01,8,1100,1,0.48,1,2.07534824338775,49.2475460708583,22.0553633861115,0.0359927174479624,0.60573828169758,0.259630535444375
"14",0.01,8,1300,1,0.28,1,1.80047923267297,40.2750480943758,25.1716885138994,0.028712320731571,0.498400730065975,0.320384298585479
"15",0.01,10,100,1,0.12,0.48,4.12898208051286,115.158655968696,39.8463237248544,0.08262216249533,1.36860650184497,0.485908988372127
"16",0.01,10,300,1,0.12,1,2.20374779804484,68.9766635017013,29.7024808730818,0.0453473324002859,0.810674726358472,0.331483424287553
"17",0.01,10,500,1,0.36,1,1.66144167253188,58.5933501763022,21.0604207512726,0.0320490456793773,0.608366373457267,0.334771548451469
"18",0.01,10,700,1,0.4,1,1.29541722734459,42.5159905593859,18.682363417566,0.0337004803483591,0.558760064612617,0.215534651376628
"19",0.01,10,900,1,0.4,1,1.71582596477852,47.7694554817534,21.5548229185149,0.0368894265934634,0.597453753974106,0.301245999071477
"20",0.01,10,1100,1,0.64,1,0.780967233366184,34.1439976366392,15.2209354137707,0.0188949754587611,0.513302120304886,0.206789868125859
"21",0.01,10,1300,1,0.64,1,0.93419371482218,29.6788207505478,18.3139549974268,0.0215933423443318,0.41594426091153,0.228109543473122
"22",0.01,12,100,1,0.08,0.72,3.6822672796575,108.121020205876,44.0683710281057,0.0695632124331818,1.24877500110234,0.45180716112864
"23",0.01,12,300,1,0.24,1,1.78980154641118,73.4049590300388,18.2388803791012,0.0376986104012911,0.783747994809303,0.316535304979285
"24",0.01,12,500,1,0.32,1,1.18722770005679,57.1915485206669,15.4297872618715,0.0293047947473475,0.687114720939304,0.218250275598343
"25",0.01,12,700,1,0.32,1,1.29362695696371,42.7900062055067,18.8202931709442,0.0217622983577199,0.620444357390805,0.23524320594383
"26",0.01,12,900,1,0.36,1,1.0080030662025,45.3213941464833,13.4159095831055,0.0190652462302989,0.47783264585814,0.163056878076998
"27",0.01,12,1100,1,0.52,1,1.36559798104044,33.6563984890035,19.661309057197,0.0273521582473695,0.399131973281462,0.193755137808049
"28",0.01,12,1300,1,0.52,1,1.02385664379286,29.0911880279082,14.6803150693852,0.0206375564886243,0.306594186832283,0.185242058815712
"29",0.01,14,100,1,0.12,0.96,1.49084352016328,95.8997276509981,24.9792620230445,0.0388752546406363,0.981711808935469,0.295392365605377
"30",0.01,14,300,1,0.32,1,1.59786823849586,57.6556122641305,18.4684060441203,0.0304330880780476,0.683488820388953,0.208296622652649
"31",0.01,14,500,1,0.24,1,0.725002352802966,52.9963723664021,14.4902004058238,0.0156496490359339,0.659591075712914,0.180752759136727
"32",0.01,14,700,1,0.56,1,0.820627687289879,33.6485677515821,9.02050797026704,0.0216551593404894,0.57989541629463,0.109047953244358
"33",0.01,14,900,1,0.48,1,0.817120776136642,31.3003616485156,12.9938684879522,0.0169870668232687,0.415664755449088,0.168144743356869
"34",0.01,14,1100,1,0.56,1,0.641449784560642,37.7703150557582,9.71962861635199,0.0137626307450572,0.431006368809486,0.106822255893036
"35",0.01,14,1300,1,0.56,1,0.807438091119254,36.729355128252,12.6793999158124,0.0166019089619048,0.447113415444728,0.0941365809112156
"36",0.01,16,100,1,0.04,1,1.75321462875157,93.0406064851652,19.46674257379,0.0347249213960695,1.19193173333353,0.233341958382599
"37",0.01,16,300,1,0.2,1,1.13731609856219,47.4777507133704,15.9951320489736,0.0289514225758103,0.51266594740822,0.208214863662206
"38",0.01,16,500,1,0.44,1,0.897953827563445,49.4775400900277,9.99757221811104,0.0199818829070895,0.652351254218778,0.137152908762655
"39",0.01,16,700,1,0.48,1,0.894437541279165,40.3900683071573,12.1450620371599,0.016590584137833,0.408822077996453,0.149186988816395
"40",0.01,16,900,1,0.68,1,0.769529909224767,40.3839988679551,10.0966120956767,0.0143065469502087,0.582446760028061,0.127935102539631
"41",0.01,16,1100,1,0.8,1,0.492726140565141,28.8760380058968,11.8111274602777,0.0120137527917244,0.500334667077571,0.0930809559627088
"42",0.01,16,1300,1,0.56,1,0.535044254949215,33.1360794106486,11.7960669941948,0.0143035461649006,0.41321445249024,0.107869065950177
"43",0.01,18,100,1,0.08,1,1.37354484440755,82.8997459144053,20.3566082699612,0.0387851799834553,1.2203414048583,0.320228401175275
"44",0.01,18,300,1,0.16,1,0.786773367309971,52.5922677359939,11.4161590845497,0.0169651866409135,0.762034343838146,0.148935823878734
"45",0.01,18,500,1,0.36,1,0.890304892432682,52.8332030333962,8.92924048964651,0.0160369634029138,0.558967044146349,0.118198323242588
"46",0.01,18,700,1,0.52,1,0.608566715199219,39.9009415828261,9.88919435087023,0.0146145589303792,0.550247618324908,0.126766942532587
"47",0.01,18,900,1,0.52,1,0.61542453872331,31.1153943977344,8.75304653714543,0.0123208433221142,0.287755515868901,0.107883654324935
"48",0.01,18,1100,1,0.72,1,0.481539805373093,25.1576336929302,10.9057897911974,0.00742053330136776,0.306321616113051,0.101436103352622
"49",0.01,18,1300,1,0.68,1,0.435011504948942,34.2343025649353,8.84536964331527,0.00886053922436801,0.388214739785134,0.082137745749352
"50",0.01,20,100,1,0.12,1,1.67433680039189,123.840766983413,12.6162762112228,0.0280287581125877,1.11575947713358,0.173531758255356
"51",0.01,20,300,1,0.2,1,0.658954101231465,42.0168354246696,9.46579885132736,0.0166218142863876,0.553127257845867,0.109378426321958
"52",0.01,20,500,1,0.4,1,0.631593368332092,42.4549467283476,9.89566681894463,0.0115897195981843,0.608121956631133,0.0872759072944305
"53",0.01,20,700,1,0.4,1,0.490550845460924,39.9100741885542,10.0590307094393,0.0113187826650453,0.458553603452244,0.105872208807256
"54",0.01,20,900,1,0.68,1,0.444682753581079,24.7867196452484,9.69301331432142,0.00965417931520137,0.370905321457082,0.103280608520034
"55",0.01,20,1100,1,0.92,1,0.484483169179994,16.5364485222779,9.77038980636099,0.00872043519848025,0.253122563786706,0.096959067727059
"56",0.01,20,1300,1,0.8,1,0.282391002604648,27.2355815638128,8.43080636985458,0.00795363376748174,0.375619506476869,0.0697173900500919
"57",0.025,6,100,1,0.24,0.68,10.5955981300645,69.5313631412286,43.7643877684149,0.186996955987793,0.339235437648112,0.212493426667311
"58",0.025,6,300,1,0.68,0.96,5.07020020509426,35.1131124063117,23.4740134009809,0.114793683983708,0.169589763323472,0.135311436271536
"59",0.025,6,500,1,0.76,1,4.833966968338,34.6072427953806,28.2619445251443,0.0924431508450675,0.174935000494632,0.128221581984692
"60",0.025,6,700,1,0.8,1,3.48612422481531,32.8937919840014,23.6964379103587,0.0685108375287263,0.139759775451285,0.0887744153852647
"61",0.025,6,900,1,0.92,1,2.36415146542467,25.1070122979702,22.2139709629129,0.0606366647357505,0.105318795099813,0.0883889465691941
"62",0.025,6,1100,1,1,1,2.60050729032738,18.9138792164689,26.9006818792524,0.0499607596435609,0.0866825368028434,0.0810356217667527
"63",0.025,6,1300,1,1,1,2.3873064260033,12.2553315974973,23.2283774017591,0.0431663513415704,0.0659568055240786,0.0806169598257767
"64",0.025,8,100,1,0.12,1,5.66688064194297,65.4435351469518,21.2132056741015,0.105849504876414,0.367808357995151,0.114114123857671
"65",0.025,8,300,1,0.52,1,2.65113039545357,31.9359247674621,20.7135649759474,0.0651671664179237,0.213038965521329,0.088199854393077
"66",0.025,8,500,1,0.84,1,2.10989627897089,25.4651367303714,20.5649304486816,0.0485145664375379,0.110326861189135,0.0793610878128294
"67",0.025,8,700,1,0.96,1,2.14893541181186,24.7613975641762,19.4711672811209,0.0474617641610644,0.131246440158083,0.07006328490178
"68",0.025,8,900,1,0.92,1,2.05623994674289,24.9587125950069,22.7100329256798,0.0492544620929635,0.13299303768289,0.074957814070309
"69",0.025,8,1100,1,1,1,1.62632394144596,19.1910889298563,17.9246438552599,0.0352362323781143,0.103606209515065,0.0532745391179206
"70",0.025,8,1300,1,1,1,1.19918624348462,19.9464034699359,22.21712932788,0.0303643938149116,0.0873795877052388,0.0501802901116402
"71",0.025,10,100,1,0.24,1,3.24146628430453,42.7358514378411,17.9449266760708,0.0686861987240114,0.219484592696963,0.112590536502238
"72",0.025,10,300,1,0.64,1,2.68793584123251,37.9659822847926,14.2888780135911,0.0505442340646054,0.137434942711836,0.0573258113154136
"73",0.025,10,500,1,0.88,1,2.25270282009664,28.3577728231701,14.9385244901267,0.0473320332566505,0.114547587490989,0.0660989561369746
"74",0.025,10,700,1,0.96,1,1.27084771011705,22.0960767091086,14.3957370650446,0.0263679484304712,0.105780847134975,0.0390618647655434
"75",0.025,10,900,1,1,1,1.52208676771106,17.2178570111043,14.6597998259619,0.0312180376058603,0.105289279135934,0.0447897571674937
"76",0.025,10,1100,1,1,1,1.2907881550249,16.0859237888238,14.133328211567,0.0313389274199236,0.0700477481639167,0.0458527103010488
"77",0.025,10,1300,1,1,1,0.967423162329035,13.5211156411137,15.3431069941847,0.024100859885905,0.093262421194212,0.0410457641533086
"78",0.025,12,100,1,0.2,1,3.14435896486839,44.7412629756572,13.9104411004797,0.068935904838667,0.233746543208485,0.0732433696062365
"79",0.025,12,300,1,0.84,1,1.579040167905,21.0687034861094,17.6169244149933,0.0337312558619368,0.113974851920429,0.0495677680645188
"80",0.025,12,500,1,0.92,1,1.3443380935357,19.8478392930684,12.6296176922195,0.0311786367636055,0.12299495284139,0.0523927382079119
"81",0.025,12,700,1,1,1,1.2197234379112,19.3578111069573,14.5578506579486,0.0275981129550029,0.0835605772391755,0.0393256534205606
"82",0.025,12,900,1,1,1,0.855810821517926,21.1758816833914,13.1397721868996,0.0188143489836292,0.102547576400392,0.042369626539016
"83",0.025,12,1100,1,1,1,0.77858740311378,14.2773080288453,11.8601864691448,0.0207012685829179,0.0746896826800992,0.0309568951346566
"84",0.025,12,1300,1,1,1,0.510776986572603,15.3657487935215,11.4759486244916,0.0102532538762819,0.075076349375683,0.015807239555271
"85",0.025,14,100,1,0.32,1,2.76139995568839,45.3700104389983,15.1536808000979,0.0496611747933657,0.184120614593891,0.0607018454768513
"86",0.025,14,300,1,0.8,1,1.35492943521521,22.3374938451809,10.0592247725471,0.0231250592816867,0.124157157065976,0.0406415509835501
"87",0.025,14,500,1,0.92,1,1.19182340324077,22.0086903341566,12.1542397773388,0.0311598296512729,0.139193280576132,0.0393310747136137
"88",0.025,14,700,1,1,1,0.776440533788218,16.6831047064747,9.51323687677104,0.0144383219168231,0.0662613549001587,0.0267332796066686
"89",0.025,14,900,1,1,1,1.02218355621954,20.13856778791,12.5126006006435,0.019580871404053,0.070167252029401,0.0278105465018723
"90",0.025,14,1100,1,1,1,0.82330181737434,16.8008568687338,10.1318935960471,0.015957992209673,0.0736952481993884,0.024706557154314
"91",0.025,14,1300,1,1,1,0.664432716120276,13.4002705411332,10.1248720347056,0.011887755323587,0.0635362082145818,0.0232072607168028
"92",0.025,16,100,1,0.24,1,1.6887127846907,43.9868594558141,9.86683938564836,0.037083547398421,0.206359745557574,0.0438063198164796
"93",0.025,16,300,1,0.88,1,0.687104914510893,19.9187762142958,9.33079825456202,0.0141506204862093,0.116365108598454,0.032098849144654
"94",0.025,16,500,1,0.96,1,0.814637963711296,20.3141737630533,9.29217996751549,0.0152779835577838,0.107211835240377,0.0271961155262293
"95",0.025,16,700,1,1,1,0.694523348949466,23.0663517222764,8.99511575271904,0.0186322072020378,0.122265872259114,0.0205812430400826
"96",0.025,16,900,1,1,1,0.739343752856772,15.627668878881,9.90403868107668,0.0144908431097564,0.079335952362803,0.0201605723037633
"97",0.025,16,1100,1,1,1,0.468398723685405,16.627045222671,8.77285281806805,0.0112120768719485,0.0670989190214783,0.017631158634869
"98",0.025,16,1300,1,1,1,0.471499352007987,15.2694007253163,10.0138982606826,0.00925873794787777,0.0723218597319138,0.0194253482015278
"99",0.025,18,100,1,0.36,1,1.88616109037919,36.2144406262859,10.0086478393502,0.0302337378658395,0.181936981986215,0.0442895381244057
"100",0.025,18,300,1,1,1,0.761116666002395,17.8417084126285,8.43083877961396,0.0183072792154936,0.0905049936300666,0.0326233897872807
"101",0.025,18,500,1,1,1,0.615215619439542,14.6537044941223,7.83619374103164,0.0148855840957355,0.0788062731529618,0.0238679654014217
"102",0.025,18,700,1,1,1,0.679833681197385,16.3990618527846,8.99453445235725,0.0139304270542349,0.0695735391520508,0.0233435079213951
"103",0.025,18,900,1,1,1,0.437578539863966,17.6896231789125,8.44395196532533,0.00880468602077685,0.0754983227520456,0.018896999559887
"104",0.025,18,1100,1,1,1,0.351518593329608,10.81141072035,7.55328181073098,0.00765388818597059,0.0529228127023387,0.0120048453148259
"105",0.025,18,1300,1,1,1,0.413722214077946,15.4839684688762,8.42582653860801,0.0121363265103746,0.0628875199046755,0.0175106900979394
"106",0.025,20,100,1,0.56,1,1.17421116160427,24.7321153714464,9.69777623482497,0.0219067778027022,0.160576790793663,0.043430550708744
"107",0.025,20,300,1,0.92,1,0.851743016253771,20.7788003443168,8.56416600222412,0.014066938902679,0.1297069607466,0.0281380392441666
"108",0.025,20,500,1,1,1,0.527206883311244,18.5993099042229,7.1208399158616,0.0120035478628136,0.0872586517082173,0.0224414988502904
"109",0.025,20,700,1,1,1,0.437127568349562,17.8797940035264,6.61666082919475,0.00951493609198028,0.0902321186060105,0.0145483383249001
