"","effect_sizes","N_t","N_pers","pre_slope","step","slope","bias_pre_slope","bias_step","bias_slope","Precision_pre_slope","Precision_step","Precision_slope"
"1",0.01,6,100,1,0.12,0.04,0.094779535463063,-0.275924860611346,0.105848920513943,0.0339669304838831,0.0862616890324251,0.0378201673391802
"2",0.01,6,300,1,0.04,0.04,0.047307494556983,-0.207586242343493,0.00241334611829757,0.0193178337382605,0.051669400658088,0.0219643437325917
"3",0.01,6,500,1,0.04,0.04,0.0180157876147246,0.00628371399800709,0.0480525180029918,0.0122218232846318,0.029947085646324,0.0193270715492948
"4",0.01,6,700,1,0,0,0.088815844915901,0.0708491635256252,-0.13842662940823,0.0126023860291804,0.0259619915543296,0.0159265045894721
"5",0.01,6,900,1,0.12,0.16,0.0222860256519016,-0.108343767692063,0.0678526394317023,0.0133993007573574,0.0344863284783461,0.0161501599020354
"6",0.01,6,1100,1,0.12,0.08,-0.0193450045307156,-0.0787467941790229,0.121032242663791,0.0122587926189417,0.0303980467165116,0.0128450579274279
"7",0.01,6,1300,1,0.08,0.12,0.0645515296939654,-0.0903121037516902,-0.0219893276156787,0.011200628920583,0.024955832985292,0.0137247091782261
"8",0.01,6,1500,1,0.04,0.16,0.0988859385531802,-0.235338571105738,-0.0327104995026237,0.0101233530548294,0.0188187087377313,0.0135698773012131
"9",0.01,8,100,1,0,0,0.196203787827431,-0.621554817221628,-0.155053766712767,0.019403069256943,0.0651095017225265,0.0234155012690711
"10",0.01,8,300,1,0.08,0.04,-0.00528776048413562,0.258028987728311,0.00982883180380231,0.0130641264986387,0.0377859834476122,0.0157638340660373
"11",0.01,8,500,1,0.08,0.16,0.0111019240808739,-0.393368611989537,0.121118051420395,0.0112470837908748,0.0376315887859312,0.0133782033750314
"12",0.01,8,700,1,0.04,0.04,0.0872204908623831,-0.034484298001109,-0.112858844815569,0.00852357619335696,0.0242422844476839,0.0094132180814241
"13",0.01,8,900,1,0.12,0.2,0.00801549370436334,0.112936377480362,0.0429660791865615,0.00904858511239399,0.0270405083173149,0.0119848055498795
"14",0.01,8,1100,1,0.08,0.12,0.0675543641924466,-0.241590076217033,0.000172448201765354,0.0049093443030021,0.0219236047763073,0.00861639693521157
"15",0.01,8,1300,1,0.16,0.32,-0.0117791038479174,-0.1041276913709,0.10360172524302,0.00795973009763152,0.0233829931871953,0.0105564169521429
"16",0.01,8,1500,1,0.12,0.44,-0.12376677956567,0.192539576113399,0.19828668866945,0.00674465824183658,0.0244717532829045,0.00791343010774992
"17",0.01,10,100,1,0.08,0.04,0.0629286303985181,0.14276798358181,-0.0856325867256491,0.0177024487815812,0.0710215239350781,0.020583915431054
"18",0.01,10,300,1,0.04,0.12,-0.0560830087708203,-0.0844765789896614,0.12738210723717,0.00863294828165407,0.040229655406509,0.0112176225495979
"19",0.01,10,500,1,0.04,0.16,0.0526037572386795,-0.0688707534655124,-0.0331336672554498,0.00882389524133461,0.0285771006113315,0.0107958209512954
"20",0.01,10,700,1,0.04,0.12,0.00277000073643819,0.161388859731382,-0.00617917847760131,0.00642614653005653,0.0196842207685146,0.00720732111595771
"21",0.01,10,900,1,0.04,0.12,0.0655867202402717,-0.266651441096119,0.00575505129989834,0.0044515856236868,0.0209812158488088,0.00660830951087717
"22",0.01,10,1100,1,0.2,0.24,-0.00428853161296956,0.399022044154818,-0.0156633382289672,0.00670915620116917,0.0230881285345882,0.0077541084726059
"23",0.01,10,1300,1,0,0.28,0.0361288005865219,-0.310610718778063,0.0356778297814862,0.00346147596852794,0.0147309299358849,0.00403718956919881
"24",0.01,10,1500,1,0.04,0.44,0.0341026673186406,-0.239683499898423,0.0597604187578205,0.00421085998488949,0.0171407277704484,0.00646453315716355
"25",0.01,12,100,1,0.04,0.04,-0.0233291618280953,-0.312453339885426,0.135028453092705,0.0103763523531881,0.0555023448523555,0.0146546504827684
"26",0.01,12,300,1,0,0.12,0.0143827903593757,-0.219318959997882,0.0127875714702382,0.00663090816322746,0.0264982107154246,0.00988908073622974
"27",0.01,12,500,1,0.04,0.16,0.0369114779281861,-0.184925236546259,-0.0038102088420053,0.00571298899768414,0.0280732041153339,0.00610089423164304
"28",0.01,12,700,1,0.04,0.36,0.0171700324775196,-0.0483922497314821,0.0161052605645226,0.0040090645904904,0.0174588765978679,0.00485030563188489
"29",0.01,12,900,1,0,0.36,0.00182310861377118,-0.114304378020684,0.0598904275390371,0.00382552918866123,0.0168010756974824,0.00488420171714662
