"","effect_sizes","N_t","N_pers","pre_slope","step","slope","bias_pre_slope","bias_step","bias_slope","Precision_pre_slope","Precision_step","Precision_slope"
"1",0.01,6,100,1,0.051,0.04,0.0378591077670564,-0.0297874201510372,-0.0960581939575154,0.0453418072759558,0.103423327267602,0.0572525062781652
"2",0.01,6,300,1,0.056,0.031,0.0244094979017338,-0.0829011340334008,-0.0396461336352447,0.0250992525438304,0.0598099467976991,0.0319856616766579
"3",0.01,6,500,1,0.063,0.041,-0.0326951042481041,0.0851850959534612,-0.009761609468397,0.0204872261779794,0.0476772917806794,0.0245752620584512
"4",0.01,6,700,1,0.061,0.055,0.0524705991776759,-0.0245508870344909,-0.102420350946268,0.0179331537497178,0.0403667125429078,0.0223789877544421
"5",0.01,6,900,1,0.059,0.048,0.0182229463131257,-0.00827344801408018,-0.0636041965591774,0.0154116191929733,0.0352494632553178,0.0191789546380813
"6",0.01,6,1100,1,0.052,0.039,0.0341628099183324,-0.0451367727633709,-0.061895904018701,0.0132513943190579,0.0316109806932055,0.0160648394981409
"7",0.01,6,1300,1,0.048,0.057,-7.8686901242099e-05,0.0586865940227771,-0.0686157645272357,0.0128174270905233,0.0290492954636674,0.0158152452988907
"8",0.01,6,1500,1,0.062,0.04,-0.0236420718585351,0.060169789538045,-0.0192173281789469,0.0114953154665994,0.027571446334876,0.0138805861065623
"9",0.01,8,100,1,0.045,0.038,0.0463740456619599,-0.0270540738083584,-0.0689057649053865,0.0292346148010742,0.0919144313472774,0.0364221465900945
"10",0.01,8,300,1,0.056,0.042,-0.0182408689000766,0.054639306381826,-0.0145622011169585,0.0170514783670287,0.0527684473806236,0.020726732668676
"11",0.01,8,500,1,0.049,0.042,-0.00517755103366388,0.0112987929548669,-0.0166245508642088,0.0129912780407355,0.039750503889537,0.016670229930152
"12",0.01,8,700,1,0.045,0.053,0.00317247252973943,0.0179259179508956,-0.0395550439975442,0.0104540060433548,0.0327804083650227,0.0136968789177123
"13",0.01,8,900,1,0.053,0.046,0.00718809820750657,0.0319427423808468,-0.0483586702915819,0.00952753751120899,0.0304290979384884,0.0116758773905404
"14",0.01,8,1100,1,0.051,0.053,-0.00393637616905114,0.0146692738796302,-0.0212027729131911,0.00895606933408296,0.0266041148358313,0.0107283237390672
"15",0.01,8,1300,1,0.064,0.062,0.00783508483163851,-0.00025831511101494,-0.0406784394652274,0.00828791048522151,0.025577260292648,0.0102405287467466
