"","effect_sizes","N_t","N_pers","pre_slope","step","slope","bias_pre_slope","bias_step","bias_slope","Precision_pre_slope","Precision_step","Precision_slope"
"1",0.01,6,100,1,0.04,0.04,0.243865756806846,-0.52170646690285,-0.311720065793627,0.0464204609815457,0.103683031603815,0.0571803082623195
"2",0.01,6,300,1,0,0,0.074058345218054,-0.14230521309409,-0.068775549435378,0.0222294802325525,0.0449065715216028,0.0326415973923069
"3",0.01,6,500,1,0.08,0,0.179232677204604,-0.23763815351241,-0.250413397545462,0.0199204798811923,0.040609484877323,0.0232073379751837
"4",0.01,6,700,1,0,0.04,-0.148227919146603,0.409278617604537,0.100117758872189,0.0187794130195295,0.0389233187206714,0.0227189717911777
"5",0.01,6,900,1,0.08,0.04,-0.184902390967893,0.0504808775189753,0.252793639956134,0.0167201902218249,0.038447269926298,0.0189393952765616
"6",0.01,6,1100,1,0.08,0.04,-0.118233143205838,0.468538395456486,-0.0599513301210063,0.0156904478007324,0.0293268820229106,0.0164684286164138
"7",0.01,6,1300,1,0.04,0.08,-0.00387261701794415,-0.429655289058664,0.106733772037174,0.0121988844989066,0.0243495197097939,0.0162398020885483
"8",0.01,6,1500,1,0,0.04,-0.174930612162204,0.600888919077164,0.022664205259014,0.0141952083994539,0.0231139974285208,0.0167740165338688
"9",0.01,8,100,1,0.08,0,0.0899098109752389,-0.369892543565542,-0.226288913708729,0.0238338718195299,0.0900629273787977,0.0335712017401521
"10",0.01,8,300,1,0,0.04,-0.0305390305177364,0.337427553514372,-0.00821042310443361,0.0118327584704274,0.035994354934747,0.0150637809013518
"11",0.01,8,500,1,0.04,0.04,-0.0713295161760681,0.448304612970872,-0.0425350062838016,0.0115231204915965,0.042058867804917,0.0143180925696022
"12",0.01,8,700,1,0,0.12,0.0117282591773375,-0.0263066632402188,-0.026777424706573,0.0120309013982654,0.0271536529019842,0.0150414688475703
"13",0.01,8,900,1,0.04,0.16,0.168639296224744,-0.114008810609027,-0.23488046587925,0.011395030478566,0.0311356236232716,0.013783198755732
"14",0.01,8,1100,1,0,0.08,0.136552387828738,-0.0327040644912851,-0.188719979742675,0.0079791793625331,0.0211273053819987,0.0112655700519073
"15",0.01,8,1300,1,0,0.04,-0.00935155665702311,0.163260515549602,-0.0144140503336251,0.00665980335856075,0.0232187392216462,0.0085287043764499
"16",0.01,8,1500,1,0,0.08,-0.0623969445439255,0.0249101495799355,0.0490124785485111,0.00797134352414855,0.0210988904968837,0.0098256005431013
"17",0.01,10,100,1,0.08,0,-0.121684895103983,0.0901133223791916,0.0613609064183736,0.0214930556556524,0.10611155214542,0.028562064672275
"18",0.01,10,300,1,0.08,0,-0.0692027836370143,0.034087492324377,0.083939674865361,0.0129431852310037,0.0627956562936617,0.0105494473473578
"19",0.01,10,500,1,0.04,0.04,0.0406238811796002,-0.0931291598963693,-0.0925705985884278,0.00785647790218938,0.0339901873401984,0.0102803491547821
"20",0.01,10,700,1,0.08,0.04,-0.0329280508599456,0.0478742075237084,0.024404763566501,0.00770931882648392,0.0349933563301447,0.00896075592721993
"21",0.01,10,900,1,0.08,0,0.000549308239989159,-0.0179931107219463,-0.0335128117302534,0.00568670843744913,0.0269623907067806,0.006129657208018
"22",0.01,10,1100,1,0.04,0.04,0.00688474384986279,-0.129882588751016,0.0298249869460849,0.00638123679975553,0.0241139594568276,0.00767450181120061
"23",0.01,10,1300,1,0.04,0.12,0.071771945169596,-0.21269198461784,-0.065934466432359,0.00455458767580862,0.0188263035835286,0.00649337363141445
"24",0.01,10,1500,1,0.08,0.08,0.0102710609343596,-0.225427471763627,-0.0211174331763521,0.00534460470635987,0.0189601543933277,0.00595982299669061
"25",0.01,12,100,1,0.16,0.12,-0.347909254979772,1.16164081309421,0.354066292525083,0.0188491770206188,0.0802611177233496,0.0255804779389015
"26",0.01,12,300,1,0,0.08,-0.119964793348098,0.747293864068484,0.0115554829620902,0.0103760394914254,0.0360063738250812,0.0133663351692054
"27",0.01,12,500,1,0.12,0.12,0.039283216674625,-0.0480120763502001,-0.0628739986358016,0.00990416717427068,0.0418319996840764,0.01079612273266
"28",0.01,12,700,1,0.08,0.04,0.0509584920693071,-0.409339066523867,-0.018853568019607,0.00398673791549319,0.0314746395920407,0.00572386494436211
"29",0.01,12,900,1,0.16,0.12,0.0882463917636706,-0.287692340931614,-0.0773912600750509,0.00622434166639737,0.0272001376857064,0.00594766443688184
"30",0.01,12,1100,1,0.04,0.28,0.0718969798929086,0.01827153742065,-0.129455292241466,0.00526816041372458,0.0176210830517863,0.00647276598927565
"31",0.01,12,1300,1,0,0.04,-0.00248631014911354,0.00109737086686821,-0.00902638917815145,0.00297610340649454,0.0178932496503845,0.00445468310475363
"32",0.01,12,1500,1,0.08,0.08,-0.00200326098604705,0.135335484022081,-0.0640812932074741,0.00366685476759014,0.0187207518854642,0.00417712366089284
"33",0.01,14,100,1,0.04,0.04,0.101798679937466,-0.231958466729475,-0.179866781363877,0.011164779491643,0.0660466818190027,0.0140803397037864
