"","effect_sizes","N_t","N_pers","pre_slope","step","slope","bias_pre_slope","bias_step","bias_slope","Precision_pre_slope","Precision_step","Precision_slope"
"1",0.01,6,100,1,0.84,1,0.094779535463065,-0.715924860611349,2.74584892051394,0.0339669304838829,0.0862616890324251,0.03782016733918
"2",0.01,6,300,1,1,1,0.0473074945569518,-0.647586242343624,2.64241334611833,0.0193178337382607,0.0516694006580881,0.0219643437325917
"3",0.01,6,500,1,1,1,0.0180157876146808,-0.433716286002017,2.68805251800329,0.0122218232846322,0.0299470856463241,0.0193270715492948
"4",0.01,6,700,1,1,1,0.0888158449159104,-0.369150836474548,2.50157337059177,0.0126023860291808,0.0259619915543295,0.0159265045894722
"5",0.01,6,900,1,1,1,0.0222860256514647,-0.548343767692251,2.7078526394319,0.0133993007573582,0.0344863284783461,0.0161501599020355
"6",0.01,6,1100,1,1,1,-0.0193450045308563,-0.518746794178898,2.76103224266372,0.0122587926189423,0.0303980467165118,0.0128450579274282
"7",0.01,6,1300,1,1,1,0.0645515296937911,-0.530312103751956,2.61801067238441,0.0112006289205824,0.0249558329852918,0.0137247091782261
"8",0.01,6,1500,1,1,1,0.0988859385534874,-0.675338571106294,2.60728950049756,0.0101233530548303,0.0188187087377313,0.0135698773012133
"9",0.01,8,100,1,0.88,1,0.196203787827447,-2.20555481722161,1.95694623328724,0.0194030692569428,0.0651095017225267,0.0234155012690711
"10",0.01,8,300,1,1,1,-0.00528776048417868,-1.32597101227157,2.12182883180388,0.013064126498639,0.0377859834476123,0.0157638340660373
"11",0.01,8,500,1,1,1,0.0111019240809227,-1.97736861198953,2.23311805142045,0.0112470837908748,0.037631588785931,0.0133782033750313
"12",0.01,8,700,1,1,1,0.0872204908627126,-1.61848429800151,1.99914115518428,0.00852357619335709,0.0242422844476838,0.00941321808142393
"13",0.01,8,900,1,1,1,0.00801549370408566,-1.47106362251945,2.15496607918644,0.00904858511239359,0.0270405083173147,0.0119848055498795
"14",0.01,8,1100,1,1,1,0.0675543641923929,-1.82559007621675,2.11217244820202,0.00490934430300226,0.0219236047763075,0.00861639693521142
"15",0.01,8,1300,1,1,1,-0.0117791038480402,-1.68812769137148,2.21560172524336,0.00795973009763224,0.0233829931871954,0.0105564169521429
"16",0.01,8,1500,1,1,1,-0.123766779566208,-1.39146042388627,2.31028668867014,0.00674465824183644,0.0244717532829045,0.00791343010775019
"17",0.01,10,100,1,1,1,0.0629286303985248,-0.649232016418152,1.49836741327437,0.0177024487815814,0.0710215239350781,0.0205839154310542
"18",0.01,10,300,1,1,1,-0.0560830087707396,-0.876476578989914,1.71138210723718,0.00863294828165391,0.0402296554065091,0.0112176225495979
"19",0.01,10,500,1,1,1,0.052603757238634,-0.860870753465295,1.55086633274459,0.00882389524133445,0.0285771006113312,0.0107958209512953
"20",0.01,10,700,1,1,1,0.00277000073639641,-0.630611140268315,1.57782082152268,0.00642614653005738,0.0196842207685145,0.00720732111595781
"21",0.01,10,900,1,1,1,0.0655867202402663,-1.05865144109594,1.58975505129946,0.00445158562368528,0.0209812158488086,0.0066083095108771
"22",0.01,10,1100,1,1,1,-0.00428853161272059,-0.392977955845575,1.56833666177114,0.00670915620116845,0.023088128534588,0.00775410847260588
"23",0.01,10,1300,1,1,1,0.0361288005864662,-1.10261071877879,1.61967782978199,0.00346147596852748,0.0147309299358846,0.00403718956919904
"24",0.01,10,1500,1,1,1,0.0341026673184251,-1.03168349989853,1.64376041875743,0.00421085998488886,0.0171407277704487,0.00646453315716363
"25",0.01,12,100,1,1,1,-0.0233291618280904,-1.74559619702826,1.49274273880706,0.010376352353188,0.0555023448523559,0.0146546504827683
"26",0.01,12,300,1,1,1,0.0143827903594317,-1.65246181714076,1.37050185718457,0.00663090816322726,0.0264982107154247,0.00988908073622952
"27",0.01,12,500,1,1,1,0.0369114779278598,-1.61806809368927,1.35390407687252,0.00571298899768378,0.028073204115334,0.00610089423164288
"28",0.01,12,700,1,1,1,0.0171700324774767,-1.48153510687444,1.37381954627858,0.00400906459048936,0.0174588765978678,0.00485030563188507
"29",0.01,12,900,1,1,1,0.0018231086129731,-1.54744723516267,1.41760471325454,0.00382552918866089,0.0168010756974823,0.00488420171714645
"30",0.01,12,1100,1,1,1,0.0148095949925082,-1.54443073194181,1.39113002723763,0.00436740594347138,0.0214274915415742,0.00528805397667099
"31",0.01,12,1300,1,1,1,0.0416568265202247,-1.57748860611817,1.3787748604924,0.00401549293588392,0.0151508379441727,0.00538781965841676
"32",0.01,12,1500,1,1,1,-0.0171798490603877,-1.41899430027047,1.41031668414197,0.00265323057103812,0.0179657039875029,0.00333679011777366
"33",0.01,14,100,1,1,1,0.014452368583184,-0.375109013659444,1.05728858663348,0.00891656197580081,0.0489964043081668,0.0124817397812389
"34",0.01,14,300,1,1,1,0.0531948921707226,-1.0737787154827,1.10689279039495,0.00633410957463633,0.0311918281661347,0.00689039542445485
"35",0.01,14,500,1,1,1,-0.0147973871372133,-0.74811302001784,1.18333604112393,0.00489471957700753,0.0227931766698184,0.00633245054584326
"36",0.01,14,700,1,1,1,-0.00583625610156787,-0.775166512702297,1.17379650703149,0.00403106406066186,0.0249902966702474,0.0049678614246123
"37",0.01,14,900,1,1,1,0.00886972397663868,-1.0411096506612,1.17038098946017,0.00314527333854353,0.0155030054746514,0.00426411567585239
"38",0.01,14,1100,1,1,1,0.037842105515343,-1.26471108436411,1.15755153940108,0.00355385511132163,0.0159015614143485,0.00445511402642273
"39",0.01,14,1300,1,1,1,-0.00378642441845273,-0.993729429798998,1.19036890702632,0.00188473029273381,0.017525342508006,0.00319789843954036
"40",0.01,14,1500,1,1,1,-0.0313561569721986,-0.744378461137181,1.16513245319157,0.00325036476794535,0.0135625990883252,0.0042043789524741
"41",0.01,16,100,1,1,1,0.0809475104989488,-2.02372390506715,0.93203951125564,0.00649178774459936,0.0524129957415274,0.010759547275677
"42",0.01,16,300,1,1,1,-0.0156804432683163,-1.38868087423265,1.06452593437203,0.00473924483938584,0.031429061971472,0.00556769622903689
"43",0.01,16,500,1,1,1,-0.000347898897487937,-1.49152629257349,1.07485827733348,0.00274996058143005,0.0234451773085749,0.00394876763520956
"44",0.01,16,700,1,1,1,-0.00569045473435921,-1.37519998848384,1.01131986412038,0.00415653439615799,0.0210502711175641,0.00499657539621913
"45",0.01,16,900,1,1,1,0.0154846195780129,-1.46259197669435,1.01446766504155,0.00316560913150988,0.0154921331194429,0.00381622851508498
