"","effect_sizes","N_t","N_pers","pre_slope","step","slope","bias_pre_slope","bias_step","bias_slope","Precision_pre_slope","Precision_step","Precision_slope"
"1",0.01,6,100,1,0.88,0.96,0.0947795354630742,0.191575139388628,-2.69915107948604,0.033966930483883,0.0862616890324252,0.0378201673391801
"2",0.01,6,300,1,1,1,0.0473074945569863,0.259913757656634,-2.80258665388172,0.0193178337382607,0.051669400658088,0.0219643437325918
"3",0.01,6,500,1,1,1,0.0180157876147129,0.473783713998019,-2.75694748199726,0.0122218232846318,0.0299470856463242,0.0193270715492948
"4",0.01,6,700,1,1,1,0.0888158449158561,0.538349163525782,-2.94342662940822,0.012602386029181,0.0259619915543295,0.0159265045894721
"5",0.01,6,900,1,1,1,0.0222860256522628,0.35915623230811,-2.73714736056847,0.0133993007573581,0.0344863284783463,0.0161501599020355
"6",0.01,6,1100,1,1,1,-0.0193450045306506,0.388753205820806,-2.68396775733612,0.0122587926189422,0.0303980467165119,0.0128450579274282
"7",0.01,6,1300,1,1,1,0.0645515296940839,0.377187896248579,-2.82698932761575,0.0112006289205829,0.0249558329852921,0.013724709178226
"8",0.01,6,1500,1,1,1,0.0988859385528556,0.232161428894813,-2.83771049950277,0.0101233530548296,0.0188187087377315,0.0135698773012129
"9",0.01,8,100,1,1,1,0.19620378782741,1.06144518277834,-2.39905376671276,0.0194030692569428,0.0651095017225265,0.023415501269071
"10",0.01,8,300,1,1,1,-0.00528776048406399,1.94102898772817,-2.23417116819627,0.0130641264986391,0.0377859834476125,0.0157638340660374
"11",0.01,8,500,1,1,1,0.0111019240808349,1.28963138801044,-2.12288194857965,0.0112470837908745,0.0376315887859309,0.013378203375031
"12",0.01,8,700,1,1,1,0.0872204908620466,1.64851570199931,-2.35685884481541,0.008523576193356,0.0242422844476835,0.00941321808142376
"13",0.01,8,900,1,1,1,0.00801549370463306,1.79593637748014,-2.20103392081331,0.00904858511239246,0.0270405083173149,0.0119848055498794
"14",0.01,8,1100,1,1,1,0.0675543641924634,1.44140992378266,-2.24382755179845,0.00490934430300275,0.0219236047763076,0.00861639693521152
"15",0.01,8,1300,1,1,1,-0.0117791038477671,1.57887230862971,-2.14039827475728,0.00795973009763087,0.0233829931871954,0.0105564169521428
"16",0.01,8,1500,1,1,1,-0.123766779565272,1.87553957611302,-2.04571331133118,0.00674465824183685,0.0244717532829046,0.00791343010775031
"17",0.01,10,100,1,0.96,1,0.0629286303985322,0.984267983581756,-1.76863258672564,0.0177024487815811,0.071021523935078,0.0205839154310542
"18",0.01,10,300,1,1,1,-0.0560830087709218,0.757023421010594,-1.55561789276283,0.00863294828165431,0.0402296554065089,0.011217622549598
"19",0.01,10,500,1,1,1,0.0526037572387506,0.772629246534251,-1.71613366725545,0.00882389524133399,0.0285771006113313,0.0107958209512952
"20",0.01,10,700,1,1,1,0.00277000073648566,1.00288885973104,-1.68917917847785,0.00642614653005616,0.0196842207685147,0.00720732111595768
"21",0.01,10,900,1,1,1,0.0655867202402379,0.574848558903687,-1.67724494869968,0.00445158562368587,0.0209812158488089,0.00660830951087705
"22",0.01,10,1100,1,1,1,-0.0042885316131526,1.24052204415521,-1.69866333822906,0.00670915620116928,0.0230881285345884,0.00775410847260582
"23",0.01,10,1300,1,1,1,0.0361288005865688,0.530889281222682,-1.64732217021896,0.00346147596852771,0.0147309299358846,0.00403718956919858
"24",0.01,10,1500,1,1,1,0.0341026673188753,0.601816500101686,-1.6232395812418,0.00421085998488935,0.0171407277704486,0.00646453315716348
"25",0.01,12,100,1,1,1,-0.02332916182807,1.21026094582886,-1.30754297547878,0.0103763523531879,0.0555023448523558,0.0146546504827684
"26",0.01,12,300,1,1,1,0.0143827903593518,1.30339532571642,-1.42978385710124,0.00663090816322734,0.0264982107154249,0.00988908073622967
"27",0.01,12,500,1,1,1,0.0369114779285587,1.3377890491682,-1.44638163741365,0.00571298899768416,0.0280732041153343,0.00610089423164313
"28",0.01,12,700,1,1,1,0.0171700324775153,1.47432203598293,-1.42646616800668,0.00400906459048991,0.0174588765978679,0.00485030563188519
"29",0.01,12,900,1,1,1,0.00182310861449338,1.40840990769267,-1.38268100103352,0.00382552918866075,0.0168010756974823,0.00488420171714657
"30",0.01,12,1100,1,1,1,0.0148095949942743,1.41142641091538,-1.40915568704979,0.00436740594347144,0.0214274915415742,0.00528805397667039
"31",0.01,12,1300,1,1,1,0.0416568265207451,1.37836853673849,-1.42151085379235,0.00401549293588431,0.0151508379441724,0.00538781965841668
"32",0.01,12,1500,1,1,1,-0.0171798490614896,1.53686284258671,-1.38996903014131,0.0026532305710382,0.0179657039875029,0.00333679011777391
"33",0.01,14,100,1,1,1,0.014452368583176,1.56953384348349,-1.27628284193804,0.00891656197580047,0.0489964043081668,0.0124817397812388
"34",0.01,14,300,1,1,1,0.053194892170589,0.870864141660155,-1.22667863817656,0.00633410957463627,0.0311918281661342,0.00689039542445475
"35",0.01,14,500,1,1,1,-0.0147973871373026,1.19652983712559,-1.15023538744782,0.00489471957700744,0.0227931766698186,0.00633245054584329
"36",0.01,14,700,1,1,1,-0.00583625610090479,1.16947634444179,-1.15977492154081,0.00403106406066172,0.0249902966702477,0.00496786142461267
"37",0.01,14,900,1,1,1,0.00886972397815157,0.903533206482041,-1.16319043911303,0.00314527333854319,0.015503005474651,0.00426411567585254
"38",0.01,14,1100,1,1,1,0.0378421055152754,0.679931772777349,-1.17601988917029,0.00355385511132052,0.0159015614143486,0.00445511402642264
"39",0.01,14,1300,1,1,1,-0.00378642441852463,0.950913427342835,-1.14320252154586,0.00188473029273386,0.0175253425080065,0.00319789843954027
"40",0.01,14,1500,1,1,1,-0.0313561569716828,1.20026439600444,-1.16843897538069,0.00325036476794242,0.0135625990883251,0.00420437895247371
"41",0.01,16,100,1,1,1,0.0809475104990182,0.828418952075531,-1.14224620303024,0.00649178774459942,0.0524129957415275,0.0107595472756771
"42",0.01,16,300,1,1,1,-0.0156804432683731,1.46346198291014,-1.00975977991382,0.00473924483938612,0.0314290619714721,0.0055676962290371
"43",0.01,16,500,1,1,1,-0.000347898897094012,1.36061656456956,-0.999427436952504,0.00274996058142978,0.0234451773085744,0.00394876763520954
"44",0.01,16,700,1,1,1,-0.00569045473432254,1.4769428686593,-1.06296585016521,0.00415653439615725,0.0210502711175638,0.00499657539621931
"45",0.01,16,900,1,1,1,0.0154846195783583,1.3895508804487,-1.05981804924416,0.00316560913150964,0.0154921331194434,0.00381622851508504
"46",0.01,16,1100,1,1,1,0.0113558842207593,1.27379055674063,-1.04847174768003,0.00180117245370514,0.0130248621899676,0.00283963194432585
"47",0.01,16,1300,1,1,1,0.0274585253300634,1.3170233065781,-1.06016127782946,0.00223678892229982,0.0129343286013769,0.00282324352789755
"48",0.01,16,1500,1,1,1,0.0115725983096684,1.56188802710828,-1.06504376717193,0.00203801092324615,0.0143905082266054,0.00304531975081285
"49",0.01,18,100,1,1,1,0.0756466310652843,0.696731235757266,-0.985699272274399,0.00529533093045325,0.0411757336344591,0.0103976264925933
"50",0.01,18,300,1,1,1,-0.0246403185851585,1.23734674663945,-0.921832016278238,0.00392266514860469,0.0288508549507927,0.00519674041376708
"51",0.01,18,500,1,1,1,0.00814833565019995,1.07948672458359,-0.928897307016588,0.00350674464767765,0.0245742373108455,0.00457422653524432
"52",0.01,18,700,1,1,1,0.0478330163462974,0.815323275567427,-0.946220831734214,0.00223206886147382,0.0170096045100008,0.00343498249584177
"53",0.01,18,900,1,1,1,0.00769095687356099,1.03878991376234,-0.910787972595135,0.00182478591035247,0.0152275344567115,0.00202765103795445
"54",0.01,18,1100,1,1,1,-0.00173701533803921,0.986617753629814,-0.878062640969912,0.00207044252008689,0.018660850720821,0.00280946000338049
"55",0.01,18,1300,1,1,1,0.00391115149201681,0.935081900696793,-0.899995060214668,0.00197377457174393,0.0154942216129664,0.00238560614161948
