"","effect_sizes","N_t","N_pers","pre_slope","step","slope","bias_pre_slope","bias_step","bias_slope","Precision_pre_slope","Precision_step","Precision_slope"
"1",0.01,6,100,1,0.055,0.044,-0.0212016477354567,0.181749739006802,-0.0392176300357104,0.045434795451492,0.10723287064438,0.0574487303059655
"2",0.01,6,300,1,0.057,0.035,-0.00476646634170714,-0.0995227641459042,0.0411670832852712,0.0266024747969754,0.06091615998876,0.0329855300664985
"3",0.01,6,500,1,0.063,0.035,0.017781133291428,-0.0200233229864552,-0.017068257325906,0.0198351792094739,0.0475543852733638,0.0247751942355137
"4",0.01,6,700,1,0.072,0.032,-0.0113525954945899,0.00981888753990613,0.0214771228672765,0.0167759180417204,0.0409020817787704,0.0205637817525158
"5",0.01,6,900,1,0.064,0.037,0.039482611843344,-0.0684668548652157,-0.0355136520876385,0.0149384333787079,0.0348513339467528,0.0182474110133678
"6",0.01,6,1100,1,0.075,0.044,0.0229698878083763,-0.0487623794669249,-0.0240426423333438,0.0139703136344808,0.0345037500560773,0.016718301581029
"7",0.01,6,1300,1,0.052,0.041,0.00273468211643674,-0.0488923332567566,0.0165536829103549,0.01246948987586,0.0293275855344953,0.015670272789287
"8",0.01,6,1500,1,0.06,0.037,0.0098208394267156,-0.00765906846974696,-0.0145511155116116,0.0116055251515948,0.0270096253219601,0.0138577692252245
"9",0.01,8,100,1,0.061,0.029,0.010125657314176,-0.0122185117603328,0.00854205577032533,0.029076504464064,0.0934576200280886,0.0352311222471382
"10",0.01,8,300,1,0.064,0.047,0.0113259244198389,-0.0863796514259361,0.000717996624708113,0.01715514189482,0.0534758570322577,0.0215816311371503
"11",0.01,8,500,1,0.054,0.033,-0.015244882993028,0.019760775101624,0.00822625420700133,0.0127832381693278,0.0413707801160594,0.015774860966099
"12",0.01,8,700,1,0.063,0.04,-0.00218890181788172,0.0360662119467077,-0.0023856822771612,0.0107779079919309,0.034236322350785,0.0133898730039547
"13",0.01,8,900,1,0.055,0.04,-0.00442443714326747,0.00471866383168091,0.000982331584090626,0.00948756583800828,0.0296614817777239,0.0119645048458049
"14",0.01,8,1100,1,0.065,0.056,0.02274662182874,-0.0783799947291294,-0.0161041898531347,0.00885092190189419,0.0274942940078509,0.0109521369518758
"15",0.01,8,1300,1,0.055,0.041,0.00765926779986468,-0.0148163280123653,-0.0125664921970153,0.00804073487347172,0.0254690076621629,0.00964371803606028
"16",0.01,8,1500,1,0.062,0.044,-0.0035448901606274,-0.072382661294535,0.0267542868323939,0.0073643202835431,0.0229194726101965,0.00913925950502554
"17",0.01,10,100,1,0.042,0.04,0.0192539562471539,0.0990267932647556,-0.0510130009735584,0.0194083997897279,0.0779632227885698,0.025456436337407
"18",0.01,10,300,1,0.052,0.04,0.00844374821728425,0.00879662028126189,-0.0193590250445803,0.0117937904369531,0.0458956768439873,0.0146393888887526
"19",0.01,10,500,1,0.055,0.036,0.00345645031366926,-0.0140751782987345,-0.00756683602820706,0.0090996224258154,0.0357482342879014,0.0110928893437338
"20",0.01,10,700,1,0.059,0.041,-0.00339133759875833,-0.00288377872661113,0.00810505076706028,0.00754668226356829,0.0315213985168223,0.00940027986236804
"21",0.01,10,900,1,0.053,0.05,0.0120242981902829,-0.0415276627155545,-0.0077984617410533,0.00681544800420456,0.026963551264721,0.00850430893411035
"22",0.01,10,1100,1,0.057,0.069,0.0029517846316181,-0.0373089055789049,0.00389049290654732,0.00620404351079127,0.0240822561044971,0.00794849624568225
"23",0.01,10,1300,1,0.052,0.074,0.00708468711587729,0.00400135207215706,-0.0110447880259479,0.00537628954828362,0.0222022620534336,0.00714464599006244
