"","N_t","N_pers","pre_slope","step","slope","bias_pre_slope","bias_step","bias_slope"
"1",6,100,1,0.236,0.124,0.415334285862312,1.52774338536708,7.22567176767028
"2",6,300,1,0.659,0.354,0.109891062522741,-0.143401156321005,2.45736788291141
"3",6,500,1,0.864,0.499,0.0137779181011034,1.07458797459401,-1.23700386390917
"4",6,700,1,0.955,0.664,-0.0487811490016342,-0.607325552740103,0.310108771721047
"5",6,900,1,0.987,0.78,-0.0179781499088883,-0.55629037967911,0.474522088256691
"6",6,1100,1,0.998,0.864,0.0010294852257417,-0.0298008834315282,-0.224250086667648
"7",6,1300,1,0.998,0.895,0.0313787586225168,0.309446396239412,-0.391610379900815
"8",8,100,1,0.307,0.258,-0.206917543546421,-2.45167414818085,-2.67286473200194
"9",8,300,1,0.779,0.714,0.0442788854852391,0.753381156312527,1.08659774989873
"10",8,500,1,0.928,0.9,-0.0983051713923498,-0.978615683053826,-0.854046195638014
"11",8,700,1,0.992,0.987,0.0267456354531677,0.0202942755226413,0.520811143550684
"12",8,900,1,0.999,0.995,-0.0146360960976967,-0.272644686466975,-0.0300538746612747
"13",8,1100,1,1,1,-0.0290738772423035,-0.802212679054219,0.463887956923251
"14",8,1300,1,1,0.999,0.0058631359466592,-0.0791487197744285,0.553875510483492
"15",10,100,1,0.421,0.512,0.0267779921314643,0.841119149265007,-0.750975031993282
"16",10,300,1,0.892,0.949,0.0735406291668278,0.623521484127944,1.06503618313888
"17",10,500,1,0.978,1,0.0182943471364968,-0.466741754654619,0.739903473258317
"18",10,700,1,0.998,1,0.0238280121144774,0.346046446703128,-0.0716849387779907
"19",10,900,1,1,1,-0.00137801855573814,-0.311892361487928,0.248254741659614
"20",10,1100,1,1,1,0.0105332716029734,0.198933807443317,0.245225217049083
"21",10,1300,1,1,1,-0.0283456335324247,-0.130232512839486,-0.322339565911126
"22",12,100,1,0.488,0.775,0.067869756247281,0.173086444060839,0.0526435776213021
"23",12,300,1,0.918,0.999,0.0305074098063179,0.0262241665074797,0.486450274280581
"24",12,500,1,0.995,1,-0.0482929197309451,-1.29939455953419,0.245535978260007
"25",12,700,1,0.999,1,0.0333315584141911,0.0504551506859643,0.372699563448969
"26",12,900,1,1,1,0.00102166119143767,-0.246360139084209,0.0458561090568142
"27",12,1100,1,1,1,-0.00131793820416866,-0.162052063745631,0.0720863559395756
"28",12,1300,1,1,1,0.00398207499028507,0.420353756344417,-0.155495082297278
"29",14,100,1,0.573,0.937,0.024961953601574,1.83618341779108,-0.562605116224881
"30",14,300,1,0.964,1,0.0101368311613648,0.411781172287576,0.318193229502485
"31",14,500,1,0.997,1,0.0178447143927231,0.0956407410190986,0.313192195334558
"32",14,700,1,1,1,-0.033493350931097,-0.726341556513613,-0.35033293958347
"33",14,900,1,1,1,0.00124573846675875,0.132863884168604,-0.109621559917141
"34",14,1100,1,1,1,0.0423799019310877,0.234359369695602,0.830420746530438
"35",14,1300,1,1,1,-0.0011888364404863,0.229761309558096,-0.0531991108310275
"36",16,100,1,0.611,0.991,-0.0213525528197143,-0.733737539080523,-0.105708950939902
"37",16,300,1,0.982,1,0.00890048255595379,-0.107423084381885,0.072154982007577
"38",16,500,1,1,1,0.00758686313046613,-0.235537246881182,0.264406887753031
"39",16,700,1,1,1,0.0254065767904346,0.152745673722978,0.165161863195164
"40",16,900,1,1,1,0.014025619843226,-0.313287470739696,0.387118717550993
"41",16,1100,1,1,1,0.00626176943125783,0.233167873506374,-0.16306095931659
"42",16,1300,1,1,1,0.0099634935749789,-0.359782581575513,0.392802980651234
"43",18,100,1,0.678,0.999,-0.00281859895639613,-0.883395343288266,0.199822330247575
"44",18,300,1,0.99,1,-0.0108427788129824,-0.268488431608021,0.000699377180099333
"45",18,500,1,1,1,-0.00789490149389297,-0.843578537406012,0.149832231042742
"46",18,700,1,1,1,0.00877954714410715,0.355073583073145,-0.0176953348291467
"47",18,900,1,1,1,0.000398075193885922,-0.323330689718373,0.205722000366474
"48",18,1100,1,1,1,0.000513582743525346,0.189963952343442,0.135002080867838
"49",18,1300,1,1,1,-0.0111000694796204,-0.567536396312558,-0.0670616228206927
"50",20,100,1,0.729,1,-0.0286620360254722,-0.121815105382766,-0.553380208461865
"51",20,300,1,0.997,1,0.0216868260583661,0.463594468656919,0.45399473292382
"52",20,500,1,1,1,0.00430455908502223,-0.378303219819482,0.264944770882663
"53",20,700,1,1,1,-0.00914594872704495,-0.120956934992199,-0.100746124422832
"54",20,900,1,1,1,0.0100194138415023,-0.0665427843451388,0.155387227620952
"55",20,1100,1,1,1,0.00723011942978262,-0.193088282382787,0.319077425128227
"56",20,1300,1,1,1,0.000164491375491038,0.254652455169608,-0.0956687700030777
