"","effect_sizes","N_t","N_pers","pre_slope","step","slope","bias_pre_slope","bias_step","bias_slope","Precision_pre_slope","Precision_step","Precision_slope"
"1",0.01,6,100,1,0.06,0.16,-1.70032911164014,-2.86572568679126,21.4218073271455,27,50,58
"2",0.01,6,300,1,0.06,0.29,0.392251941719804,-5.44565257700935,-2.56599497435526,20,47,45
"3",0.01,6,500,1,0.08,0.4,0.933301489988352,-12.412495898659,-6.87326865760981,17,47,39
"4",0.01,6,700,1,0.11,0.57,0.180609811317126,0.236091678291827,-3.16014270793754,14,46,45
"5",0.01,6,900,1,0.1,0.74,0.407710013915918,-10.1048526893143,-0.883101315191718,11,40,45
"6",0.01,8,100,1,0.05,0.27,-0.422228741855764,-0.434431781300399,5.53110974660087,21,44,51
"7",0.01,8,300,1,0.06,0.68,-0.455735347906711,2.18625346442785,4.397383603727,10,57,48
"8",0.01,8,500,1,0.17,0.89,-0.494012090527099,14.3201076840238,1.67699419791214,4,54,38
"9",0.01,8,700,1,0.11,0.93,0.50309734772187,-7.33040930928465,-4.53459114949108,7,46,34
"10",0.01,8,900,1,0.07,0.98,0.0900923666925197,1.28402460703869,-1.22208771120092,1,47,38
"11",0.01,10,100,1,0.05,0.44,0.00234189326573176,-1.34666756932401,-1.24269231864906,13,49,47
"12",0.01,10,300,1,0.05,0.95,-0.05987957746244,-0.258930505578544,1.69259886962067,1,48,39
"13",0.01,10,500,1,0.08,1,0.238056006553624,-14.1923266979846,1.07884844242376,2,37,41
"14",0.01,10,700,1,0.15,1,-0.441505975734831,5.17652174855636,3.69075154880138,0,53,45
"15",0.01,10,900,1,0.11,1,0.289789908602992,-7.19791858533235,-1.85558515463794,0,39,35
"16",0.01,12,100,1,0.05,0.67,-0.500177666349011,-4.63961508867378,6.17833550791196,10,50,52
"17",0.01,12,300,1,0.15,0.99,-0.0626273758344155,7.15722987513364,-0.534755369526992,3,50,39
"18",0.01,12,500,1,0.12,1,-0.137657068371926,-0.684797281307202,2.20683489046296,0,42,43
"19",0.01,12,700,1,0.17,1,-0.00868298813256539,6.18891607480255,-1.82953494048306,0,48,34
"20",0.01,12,900,1,0.16,1,0.00787115381134514,1.21994471980936,-0.0963865397846485,0,56,37
"21",0.01,14,100,1,0.1,0.87,-0.379522836705931,11.3085743477964,2.61534088991584,4,49,48
"22",0.01,14,300,1,0.09,1,0.142812255370155,-3.54444566208752,-1.7613534792312,0,45,38
"23",0.01,14,500,1,0.17,1,0.104904905529306,-2.47434393429293,-1.24586204760324,0,43,29
"24",0.01,14,700,1,0.16,1,0.134235752169734,-1.19887997099255,-1.54286865131881,0,47,31
"25",0.01,14,900,1,0.2,1,0.0245148400329492,-1.38633430658806,-0.0910368210090491,0,45,31
"26",0.01,16,100,1,0.04,0.97,0.32866068994617,-12.9740558263927,-2.41410055505645,3,44,37
"27",0.01,16,300,1,0.14,1,-0.192967646899554,14.7570001202249,-0.10085875407273,0,57,37
"28",0.01,16,500,1,0.17,1,-0.0411580200571227,4.52100661771943,-0.22781212645842,0,49,33
"29",0.01,16,700,1,0.27,1,-0.0328572962061959,8.6945288860336,-0.872549325519333,0,51,21
"30",0.01,16,900,1,0.27,1,0.125912736326134,-5.57762664796417,-1.0456489622742,0,46,28
"31",0.01,18,100,1,0.06,1,0.065791115905523,-10.5114214553431,0.86780922445124,0,44,41
"32",0.01,18,300,1,0.14,1,0.222313215479046,-10.8028101212074,-1.41705524797859,0,44,19
"33",0.01,18,500,1,0.19,1,0.0743881393168186,-4.72390937159827,-0.166043805688169,0,42,14
"34",0.01,18,700,1,0.22,1,0.0285746581440714,-5.29560609893095,0.499261258790976,0,46,21
"35",0.01,18,900,1,0.29,1,-0.0343401166142635,0.201094420310368,0.465338386023832,0,45,12
"36",0.01,20,100,1,0.09,1,0.272453485744264,-20.661329359264,-0.250010846622217,1,42,25
"37",0.01,20,300,1,0.21,1,-0.126698873837678,8.13049296014094,0.582883047879114,0,48,14
"38",0.01,20,500,1,0.25,1,-0.00277137895768555,-0.43876998294184,0.207470146894243,0,38,6
"39",0.01,20,700,1,0.17,1,0.0653219182801315,-4.46984730049477,-0.212719210190306,0,45,2
"40",0.01,20,900,1,0.25,1,0.0176607685471816,-1.92087909333833,0.167452862144161,0,44,0
"41",0.03,6,100,1,0.16,0.69,0.303258295025187,8.49718456670102,-4.39737559718195,38,54,38
"42",0.03,6,300,1,0.22,1,0.541270912717883,-2.12615858271221,-0.852495947710585,20,39,37
"43",0.03,6,500,1,0.43,1,-0.412328576477931,4.9337270699215,-0.0549123694991685,18,51,42
"44",0.03,6,700,1,0.5,1,0.252281897932427,3.33384736153729,-1.9009788275899,16,41,36
"45",0.03,6,900,1,0.59,1,0.0648157059965315,-1.74525951422714,0.35354181755516,13,38,34
"46",0.03,8,100,1,0.17,0.99,-0.555879702052694,-0.175790242659289,2.08432961362417,17,51,46
"47",0.03,8,300,1,0.32,1,-0.698261316848545,-2.03648128975758,2.91319341351143,12,43,47
"48",0.03,8,500,1,0.57,1,-0.514428424742419,7.95144342840303,0.111627739397479,2,48,35
"49",0.03,8,700,1,0.6,1,-0.0188718416419577,-2.8996188749892,0.505438478799142,2,39,25
"50",0.03,8,900,1,0.68,1,0.0961287680904518,-3.42855060623986,0.317831730141364,5,37,31
"51",0.03,10,100,1,0.13,1,-0.766483584666683,0.826159206899349,2.66783143725666,10,44,41
"52",0.03,10,300,1,0.41,1,-0.0220953858128266,-1.60850790150313,0.306938776173472,1,46,28
"53",0.03,10,500,1,0.5,1,0.209175635181438,-1.62829870509354,-0.800666017240467,1,41,22
"54",0.03,10,700,1,0.73,1,0.0830598286071753,-0.319875122174832,-0.586155404350404,0,37,19
"55",0.03,10,900,1,0.82,1,0.337135967143426,-1.76592272833848,-0.987508666088221,0,35,13
