"","effect_sizes","N_t","N_pers","pre_slope","step","slope","bias_pre_slope","bias_step","bias_slope","Precision_pre_slope","Precision_step","Precision_slope"
"1",0.01,6,100,1,0.08,0.08,-0.210205093327373,0.637132033317422,1.07619311633149,0.0417905799790782,0.12178280352656,0.085698679122556
"2",0.01,6,300,1,0.12,0,0.334814245443592,-0.386222663823196,-0.245677792836229,0.0280946814486395,0.0716098870156373,0.0475681288445476
"3",0.01,6,500,1,0.12,0,0.227062018032178,-0.164668862743059,-0.250775247916452,0.0240348177603825,0.0647892525685655,0.0295774119181355
"4",0.01,6,700,1,0.08,0.04,-0.054754828065283,0.109009317181231,-0.0841120588658701,0.0156666712711839,0.036815481712734,0.032675254475698
"5",0.01,6,900,1,0.08,0.04,0.0426911119324577,-0.102690821893172,0.111745225403797,0.0140835513155338,0.0408757246268542,0.0262651211628793
"6",0.01,6,1100,1,0.12,0.12,0.144450452537889,-0.423534709636494,-0.273873176013463,0.0166631400648318,0.0370048376074296,0.0311476485519553
"7",0.01,6,1300,1,0.04,0,-0.219196049332364,-0.00510757116258573,0.0772032046624696,0.00779027008572029,0.0302734756534873,0.0178001375029682
"8",0.01,6,1500,1,0.04,0.04,-0.0147243463194767,0.128160103092252,0.203279649666306,0.0105496481751871,0.0294365303139224,0.0225836716590013
"9",0.01,8,100,1,0.04,0.08,-0.0653950120982058,0.306538684998419,-0.376232614870634,0.0229819248917447,0.130767014071288,0.105951252149442
"10",0.01,8,300,1,0.04,0.08,0.0349830617473617,-0.03454965776638,0.240284927917609,0.0180592573235448,0.0653174544320263,0.0584780756049232
"11",0.01,8,500,1,0.08,0,-0.0466256987610765,0.179896795294333,0.0404353930537501,0.0164034060078873,0.0547365017270464,0.0331716912937845
"12",0.01,8,700,1,0.04,0.08,0.0974247052887932,-0.639339154089817,-0.000352503625590641,0.0133334861373455,0.0354871277782761,0.0417436182036025
