"","effect_sizes","N_t","N_pers","pre_slope","step","slope","step2","bias_pre_slope","bias_step","bias_slope","bias_step2","Precision_pre_slope","Precision_step","Precision_slope","Precision_step2"
"1",0.01,6,100,1,0.064,0.018,0.038,0.0125887379913671,-0.135712824370657,-0.0373236295140139,0.0426438856317727,0.046595468077026,0.110793309620565,0.0790490211800474,0.171891923661806
"2",0.01,6,300,1,0.058,0.013,0.041,0.00991894433854638,0.0113296904859325,0.0462663805929088,-0.127946448269915,0.0267461690583061,0.0618267998145896,0.0451234318869881,0.104350221014382
"3",0.01,6,500,1,0.055,0.027,0.041,-0.0378706961598945,0.146475652587204,0.0173500004995546,0.126605830596736,0.0205828941168863,0.0480461762929447,0.0362180046215249,0.0804270285677636
"4",0.01,6,700,1,0.059,0.02,0.041,-0.00938036587797178,0.0354363032716381,-0.0316244559984739,0.0747099269072197,0.0176760390253715,0.040968652611278,0.0296090520599856,0.0679837730013895
"5",0.01,6,900,1,0.066,0.018,0.04,-0.0177681136214379,0.0360864114492502,0.0143554299090326,0.0362096415362103,0.01459353085455,0.0362365314904865,0.026251530130666,0.0619702561372925
"6",0.01,6,1100,1,0.048,0.023,0.038,0.00154591528153474,0.00691087517437018,0.0261324077716947,-0.0699431524047039,0.0138927471880104,0.0313067905656616,0.0241489142124629,0.0538932352477318
"7",0.01,6,1300,1,0.057,0.016,0.034,-0.0222421830666436,0.0553302354347116,-0.000819043825792191,0.0803379004406025,0.0127824496335694,0.0294472669609758,0.0221040646324423,0.0487911350825957
"8",0.01,6,1500,1,0.058,0.025,0.047,0.0171285531177641,-0.0720781787843716,0.00736421403243914,-0.103790181438484,0.0117748549357676,0.0269955390539638,0.0204165421259663,0.0458679585991106
"9",0.01,8,100,1,0.053,0.028,0.051,0.0110516849645775,-0.0679474599456872,0.0594435632621865,-0.321267199040814,0.0286740257849992,0.0995715927648256,0.0612215362071028,0.196089562694475
"10",0.01,8,300,1,0.052,0.042,0.042,-0.0191413833690243,0.0834851060932976,-0.0366951013083416,0.173407252649361,0.0164430142247765,0.0567764075827798,0.0367291152918976,0.118162102376664
"11",0.01,8,500,1,0.052,0.045,0.055,-0.000575741302639122,0.0161478903236728,-0.0457863167988217,0.102583447169697,0.012514969829003,0.0426342816367787,0.0285073572713509,0.0905798675579979
"12",0.01,8,700,1,0.041,0.039,0.061,-0.0181537193380694,0.0432820160720591,0.00812333034811723,0.0893570791761325,0.0110143055810998,0.036953238916385,0.0238642324796812,0.0781521752151623
"13",0.01,8,900,1,0.06,0.029,0.048,0.0142706660718339,-0.111729322903856,0.0408417470331539,-0.221136441621506,0.0096621184657002,0.0331002586135253,0.0204345940786154,0.0656231644014646
"14",0.01,8,1100,1,0.043,0.049,0.055,0.00854478200083543,0.045714454885686,-0.0317104567506465,0.0482548265219313,0.00839400411437375,0.0282004489700906,0.0187886173748523,0.0603052890684072
"15",0.01,8,1300,1,0.036,0.037,0.05,0.00542019552193353,0.00328215642791475,0.00443272340620974,-0.0373124899808801,0.00763646165087843,0.0258841557066338,0.0168376458765194,0.0545791462500982
"16",0.01,8,1500,1,0.062,0.039,0.046,0.00922029452198121,-0.00450266133221463,-0.0232505256882534,0.0286184511841443,0.00745869103698908,0.0257371639279646,0.0159825840446609,0.0508053739420027
"17",0.01,10,100,1,0.04,0.029,0.041,0.0170156910825249,-0.0711050807556355,0.033308743901608,-0.27475749062748,0.0208371041549433,0.0806451969994488,0.0392445545678057,0.145913297193279
"18",0.01,10,300,1,0.047,0.026,0.039,-0.0163105963616184,0.0564786401145496,-0.00177499026524471,0.118048754610652,0.0117488417862958,0.0462984098512196,0.0219114917536548,0.0829712592529972
"19",0.01,10,500,1,0.051,0.026,0.045,0.00568054720316898,-0.0400940321457696,0.0129693727802559,-0.103297167112492,0.00921742503042965,0.0359677896230039,0.0170102198808958,0.0656712498393317
"20",0.01,10,700,1,0.048,0.023,0.035,0.0183169753767759,-0.0578315422855579,-0.0202801113032214,-0.0535379702137093,0.00773928870194732,0.0307102760952374,0.0141978581784266,0.0540938838765039
"21",0.01,10,900,1,0.052,0.03,0.038,-0.0112542380961229,0.0456253040134877,-0.0102194830433581,0.103816911122813,0.00690313396213291,0.0270937535211757,0.0124328344746541,0.048113772839261
"22",0.01,10,1100,1,0.053,0.029,0.036,-0.0159663916982415,0.0235025790276436,0.0357941133310664,-0.0433550343055934,0.00612278494206479,0.0240632970700403,0.0111580644066912,0.0430691504484883
"23",0.01,10,1300,1,0.055,0.027,0.042,0.00504573808035773,-0.0169436550372162,-0.00769645171688613,-0.00403840830425558,0.00580680395972339,0.0227483852620476,0.0101090516846126,0.0398455885821872
"24",0.01,10,1500,1,0.049,0.038,0.034,0.0133288263274223,0.00545887140022348,-0.0145454851570845,-0.00269383835919907,0.00517521678813281,0.0210614422530639,0.0094917000292939,0.0364003365835213
"25",0.01,12,100,1,0.046,0.033,0.051,-0.0281735310778823,-0.0337877606560395,0.0286560979555517,0.0441717995549911,0.0153959463564938,0.0769674378077795,0.0325775889469245,0.150719496472679
"26",0.01,12,300,1,0.046,0.038,0.042,0.00329649498200059,-8.72925730820482e-05,0.00785763717474862,-0.0694089549583401,0.00904056430154208,0.0455094870868398,0.0186581172944816,0.0857013231385492
"27",0.01,12,500,1,0.045,0.039,0.042,0.00216354595190432,-0.000623276310924163,-0.015693606184645,0.0802628379618131,0.00673031591895943,0.0340737970963159,0.0141281026016728,0.06682132220911
"28",0.01,12,700,1,0.046,0.048,0.043,-0.00686995077089813,0.00867249282628077,-0.00885058319724903,0.075761565203636,0.00569154251719246,0.0297737161761389,0.0120626568331708,0.058505477305874
"29",0.01,12,900,1,0.034,0.052,0.039,0.00580938708760175,0.0013314419615434,-0.0222506188256485,0.0588640326007726,0.0050619553667646,0.0252153038710284,0.0106621456913651,0.0488160951291172
"30",0.01,12,1100,1,0.052,0.044,0.045,-0.00760636555224024,0.0278099628366151,0.0173241169237021,-0.00354145008307123,0.00475747386178298,0.0236349773672861,0.00972536494326876,0.0463227429927171
"31",0.01,12,1300,1,0.054,0.037,0.04,-0.00872872176958057,-0.0111789995644028,0.0249565950779,-0.0684278013638764,0.00434684299548209,0.021838986951908,0.00881751623683339,0.0416647431531165
"32",0.01,12,1500,1,0.048,0.055,0.045,0.00132783517733968,0.0094693863330753,0.00236516522682364,-0.0255524166334543,0.00403061467857428,0.0196855052519535,0.00843156990642609,0.0390689668624612
"33",0.01,14,100,1,0.061,0.025,0.047,0.00586531216893555,-0.0498288865360679,-0.00153606209025049,-0.0932006156404899,0.0122347556461724,0.0723246153821808,0.0230959729372807,0.128358007739628
"34",0.01,14,300,1,0.043,0.028,0.033,-0.00518457630660503,0.0692406775014937,-0.0139722117286387,0.10272806338507,0.00718622577296238,0.0397845569907749,0.0131538410424795,0.0692614913790596
"35",0.01,14,500,1,0.065,0.038,0.051,-0.00147855488795348,-0.00416991441565284,0.0165627374044011,-0.0733882577257875,0.00551428474763091,0.0323171517998852,0.0107815782247885,0.0590483891846463
"36",0.01,14,700,1,0.049,0.043,0.034,-0.00414857663679277,-0.00227796958941676,-0.0068419738750737,0.0355759722465361,0.00448163903622154,0.0256473193532275,0.0087499325330248,0.0473262794676182
"37",0.01,14,900,1,0.041,0.047,0.038,-0.00395630523035788,-0.00818104963893782,0.0187444033058586,-0.084027759571829,0.0040900582147808,0.0224750300103645,0.00792900965968006,0.0402740034893541
"38",0.01,14,1100,1,0.048,0.052,0.045,0.00457068142951064,-0.0354952625867734,0.00566334550919307,-0.0804704157441721,0.00380344039913604,0.0206513170590326,0.00711604780175223,0.0374636293267828
"39",0.01,14,1300,1,0.054,0.061,0.041,0.000372094666231185,-0.018157886866482,-0.00983546986998495,0.0404476354796945,0.0034480195028459,0.0194310751332427,0.00643701215241051,0.0347978129656258
"40",0.01,14,1500,1,0.038,0.069,0.032,-0.00470668691806612,0.0250466467479292,0.00378241995066973,0.0277839795736286,0.00320541359820448,0.0174731051756483,0.00623351272284155,0.0312301064088514
"41",0.01,16,100,1,0.043,0.04,0.039,-0.00218017019330073,-0.0513171591969233,0.0224292627518111,-0.146777451343853,0.00992598954689595,0.0635561802085036,0.0202972668733243,0.122856789999514
"42",0.01,16,300,1,0.039,0.05,0.044,-0.00818520221695132,0.0545367011807608,0.0125951813688757,0.0252551868779441,0.0057162133495767,0.0375750496772406,0.0123500330552177,0.0760685048887998
"43",0.01,16,500,1,0.048,0.048,0.043,0.00250490549352797,-0.0461307702215988,0.0105113629366503,-0.124665305024219,0.00469552551113369,0.0306746512629743,0.00929414571775039,0.0577133681214681
"44",0.01,16,700,1,0.046,0.053,0.048,-0.00159059905814197,0.0274879324352191,-0.00122784170814255,0.0187169854096657,0.00375603605363826,0.0251656126296283,0.00759098664500236,0.0478005189984348
"45",0.01,16,900,1,0.054,0.076,0.05,0.00424746811779325,-0.0276841091635642,-0.00478140222485647,-0.0210802075006741,0.00334314851313891,0.0228391347322775,0.00699952667136679,0.0448832094911421
"46",0.01,16,1100,1,0.054,0.084,0.05,-0.00159763344388906,0.0168693752544875,-0.00103742652713848,0.0166288040972701,0.00302702469212397,0.0207140917710021,0.00627180912980881,0.0400384225440613
"47",0.01,16,1300,1,0.05,0.079,0.035,0.00141406689445846,-0.0182227921098307,0.0023718280015818,-0.0266876065343964,0.0027849791151108,0.018497062060587,0.00564121848946219,0.0343209050521394
"48",0.01,16,1500,1,0.056,0.084,0.061,-0.000392901273221717,-0.0216610916472803,0.00932426282152238,-0.0508858524834716,0.00255526543035035,0.0174488457330366,0.00548739046116259,0.0346987672166412
"49",0.01,18,100,1,0.041,0.037,0.031,5.12897599300572e-05,0.00585600274576032,-0.0299000718044467,0.162505701828313,0.00827250043990487,0.0605166290751527,0.0164167620246933,0.111527724689167
"50",0.01,18,300,1,0.055,0.055,0.033,0.00314999132865494,0.0131847811118324,-0.0104337683546879,0.0884624306433206,0.00488788423159533,0.0357501223865012,0.00981803086280255,0.0640205526962865
"51",0.01,18,500,1,0.049,0.049,0.043,-0.00148073708802795,-0.00329041554061674,0.00269462495706831,-0.00212887023647334,0.00377463719831627,0.027464057165747,0.00731191180998858,0.0507018819199462
