"","effect_sizes","N_t","N_pers","pre_slope","step","slope","bias_pre_slope","bias_step","bias_slope","Precision_pre_slope","Precision_step","Precision_slope"
"1",0.01,6,100,1,0.04,0.08,6.94186883262526,151.442184011113,71.0231219903057,0.210643533691655,2.39814314481283,-1.0490357140724
"2",0.01,6,300,1,0.12,0.16,4.34935953330783,102.927754793336,44.4693186736728,0.107935495595132,1.17019713444481,-0.580572013633779
"3",0.01,6,500,1,0.08,0.36,2.74285095194394,53.4173999042503,39.1269188034125,0.0683653979034951,0.807967267340523,-0.571268214290826
"4",0.01,6,700,1,0.24,0.48,3.21303652996941,50.432080895378,31.4878195142293,0.059004555531307,0.605105810307637,-0.407958726995737
"5",0.01,6,900,1,0.28,0.56,3.42506811220393,62.7442317691887,34.909344669061,0.0588973034713124,0.919854945228912,-0.498112926648063
"6",0.01,6,1100,1,0.36,0.52,2.91094266703225,60.5221656493575,33.5433858175253,0.0630835666572479,0.684051198560673,-0.407194873955524
"7",0.01,6,1300,1,0.44,0.72,2.76623684593667,50.5427998915753,27.6243308118419,0.0552300363130892,0.547243044946381,-0.437927205606738
"8",0.01,8,100,1,0.08,0.12,5.4248280238059,140.705865331135,54.7170342791972,0.105712080172864,1.78270517693399,-0.663502265289656
"9",0.01,8,300,1,0.04,0.56,2.82021022061427,69.2922536330738,27.3745222406419,0.0624201471673927,0.745854314947378,-0.418982977588588
"10",0.01,8,500,1,0.2,0.56,2.00357961491175,56.6733072776363,32.6569240343074,0.0306613478904129,0.770716996106328,-0.267729822303066
"11",0.01,8,700,1,0.16,0.88,1.7309210187235,48.9669825526688,22.2400064928201,0.0420009332802245,0.69132677032601,-0.246085215331588
"12",0.01,8,900,1,0.28,0.88,1.92268310435394,45.1439377002783,22.7893234390645,0.046429367971324,0.713302751770418,-0.282557221648429
"13",0.01,8,1100,1,0.48,1,2.07534824338787,49.2475460708582,22.0553633861147,0.0359927174479603,0.605738281697574,-0.259630535444391
"14",0.01,8,1300,1,0.28,0.96,1.800479232673,40.2750480943764,25.1716885139021,0.0287123207315696,0.498400730065976,-0.320384298585548
"15",0.01,10,100,1,0.12,0.4,4.12898208051282,115.158655968696,39.8463237248538,0.0826221624953289,1.36860650184497,-0.485908988372121
"16",0.01,10,300,1,0.12,0.72,2.20374779804482,68.9766635017014,29.7024808730805,0.0453473324002875,0.81067472635847,-0.331483424287545
"17",0.01,10,500,1,0.36,0.88,1.66144167253194,58.5933501763021,21.0604207512716,0.0320490456793778,0.608366373457271,-0.334771548451465
"18",0.01,10,700,1,0.4,1,1.29541722734452,42.5159905593861,18.6823634175681,0.0337004803483597,0.558760064612608,-0.21553465137662
