"","effect_sizes","N_t","N_pers","pre_slope","step","slope","bias_pre_slope","bias_step","bias_slope","Precision_pre_slope","Precision_step","Precision_slope"
"1",0.01,6,100,1,0.08,0,6.94186883262527,152.442184011113,62.1712985293153,0.210643533691656,-2.36094142121463,1.19123441537693
"2",0.01,6,300,1,0.2,0.04,4.34935953330778,102.594421460003,47.8634346433666,0.107935495595132,-1.15272200469893,0.62727720388744
"3",0.01,6,500,1,0.08,0.24,2.7428509519439,51.623741130248,42.0851672520943,0.0683653979034946,-0.846888288226279,0.564032285027621
"4",0.01,6,700,1,0.2,0.24,3.21303652996934,50.9451372556685,44.465278886735,0.0590045555313043,-0.614051236523576,0.533600182509852
"5",0.01,6,900,1,0.36,0.36,3.4250681122041,61.0732193889784,39.4345735121031,0.0588973034713067,-0.937951972590432,0.415289457045294
"6",0.01,6,1100,1,0.48,0.6,2.91094266703221,59.5221656493577,30.079984044062,0.063083566657247,-0.695854931004904,0.400118608574755
"7",0.01,6,1300,1,0.48,0.48,2.76623684593677,50.2094665582416,39.4225327149316,0.0552300363130916,-0.534276141608807,0.384283040065303
"8",0.01,8,100,1,0.08,0.16,5.42482802380595,136.920154856389,44.0327554352357,0.105712080172863,-1.78871409209821,0.679105243094045
"9",0.01,8,300,1,0.08,0.24,2.82021022061424,66.5778946669511,39.291284364492,0.0624201471673943,-0.775578816765548,0.434627656244071
"10",0.01,8,500,1,0.16,0.88,2.00357961491186,65.4591316657325,16.3227052164973,0.0306613478904151,-0.799264717972209,0.251323184638738
"11",0.01,8,700,1,0.28,0.68,1.73092101872336,46.9467357177538,30.1999164102441,0.0420009332802197,-0.639535123091622,0.345892691521091
"12",0.01,8,900,1,0.24,0.88,1.92268310435407,44.4841672254443,26.9343142163734,0.0464293679713309,-0.665707751920241,0.291788630759942
"13",0.01,8,1100,1,0.36,0.92,2.07534824338782,55.5474113022355,24.3737764184741,0.0359927174479609,-0.628909237236635,0.280520346087281
"14",0.01,8,1300,1,0.52,1,1.80047923267309,34.5696988832456,23.8531635324536,0.0287123207315706,-0.431174409210309,0.260227795497289
"15",0.01,10,100,1,0,0.32,4.12898208051284,121.758655968696,43.2243164089958,0.0826221624953308,-1.39757269779465,0.498909643500191
"16",0.01,10,300,1,0.16,0.84,2.20374779804487,68.3766635017011,22.1548584704563,0.0453473324002852,-0.835865840784563,0.29518179591654
"17",0.01,10,500,1,0.28,1,1.66144167253194,60.4709749275471,22.7272855548693,0.0320490456793746,-0.668957074526669,0.199292378437805
"18",0.01,10,700,1,0.32,0.96,1.2954172273445,45.1501815035537,21.3543257264022,0.033700480348359,-0.553868291064685,0.296670634192089
"19",0.01,10,900,1,0.44,1,1.71582596477847,47.3632811999928,19.7207517352298,0.0368894265934683,-0.546423360290053,0.239177977057693
"20",0.01,10,1100,1,0.36,1,0.780967233366207,37.2699075992921,17.0838731581789,0.0188949754587591,-0.501107475540401,0.169635380440432
"21",0.01,10,1300,1,0.48,1,0.93419371482219,32.3689716843157,15.0268888485718,0.0215933423443366,-0.408883335237092,0.156670474547422
"22",0.01,12,100,1,0.04,0.64,3.68226727965749,107.107809187042,40.2328297759278,0.0695632124331807,-1.22365029515169,0.600390824361129
"23",0.01,12,300,1,0.2,0.96,1.78980154641118,71.6987777694495,22.7124996788615,0.0376986104012904,-0.801290943464605,0.233114053484393
"24",0.01,12,500,1,0.2,1,1.18722770005671,55.4413706966746,21.1609292738382,0.0293047947473465,-0.812054485185609,0.202463360331967
"25",0.01,12,700,1,0.32,1,1.29362695696374,42.0884610205122,12.6765111980562,0.0217622983577236,-0.592650142340945,0.147444715528434
"26",0.01,12,900,1,0.52,1,1.00800306620259,41.9605902116277,15.0440339781701,0.0190652462302917,-0.609066645880754,0.146796909789999
"27",0.01,12,1100,1,0.52,1,1.36559798104032,33.6155446402536,13.1671396898621,0.027352158247376,-0.526308294784069,0.186580497796592
"28",0.01,12,1300,1,0.6,1,1.02385664379281,27.5298703128242,15.9664811128296,0.0206375564886241,-0.412683245829732,0.173460586659602
"29",0.01,14,100,1,0,0.84,1.49084352016327,101.058995792236,21.8868378176796,0.0388752546406374,-1.04743880008396,0.327391540678774
"30",0.01,14,300,1,0.12,1,1.59786823849582,58.6482621186556,17.1701742788241,0.0304330880780466,-0.756097287227137,0.216264004561127
"31",0.01,14,500,1,0.44,1,0.725002352802846,48.7373407700206,13.6097883232042,0.0156496490359338,-0.62983708823813,0.174277937454155
"32",0.01,14,700,1,0.28,1,0.820627687289907,37.7917423524195,15.1467021849059,0.0216551593404885,-0.556037301411177,0.156961915468674
"33",0.01,14,900,1,0.52,1,0.817120776136504,31.0842553410058,13.0781939133506,0.0169870668232647,-0.428792217480772,0.150779935357389
"34",0.01,14,1100,1,0.64,1,0.641449784560651,35.8230809357292,11.8737606212691,0.0137626307450607,-0.52589293300083,0.109212209960337
"35",0.01,14,1300,1,0.64,1,0.807438091119279,35.1485124544066,10.1650251562495,0.0166019089619015,-0.457742677445659,0.118009643823918
"36",0.01,16,100,1,0.12,0.92,1.75321462875158,92.6252822350997,20.3316969868812,0.0347249213960687,-1.09965693928566,0.265712009437363
"37",0.01,16,300,1,0.2,1,1.13731609856208,42.9282449641109,14.1179736045471,0.028951422575809,-0.563032108848646,0.177656453161634
"38",0.01,16,500,1,0.32,1,0.897953827563384,52.8577347483464,14.657904642041,0.0199818829070896,-0.59211916182619,0.166727109629525
"39",0.01,16,700,1,0.52,1,0.894437541279105,40.6185573899774,9.4151048512384,0.0165905841378332,-0.617353556482492,0.122427847454507
"40",0.01,16,900,1,0.48,1,0.769529909224706,46.0892362961322,11.0298200225217,0.0143065469502108,-0.579795566604328,0.131006037379353
"41",0.01,16,1100,1,0.76,1,0.492726140565149,26.0018656260621,8.6265251565658,0.0120137527917203,-0.477701366575991,0.086158316446495
"42",0.01,16,1300,1,0.88,1,0.535044254949299,23.6444750062181,9.82319062489756,0.0143035461649025,-0.284340952153529,0.134596877075758
"43",0.01,18,100,1,0.12,1,1.37354484440754,81.3662646965014,21.0072142777989,0.0387851799834539,-1.19296319430855,0.207240612374644
"44",0.01,18,300,1,0.32,1,0.786773367310109,51.9867512108544,11.7017757370926,0.0169651866409115,-0.730073890247704,0.143219822292633
"45",0.01,18,500,1,0.52,1,0.890304892432593,48.0617813728818,12.0292761600888,0.016036963402913,-0.656007993158375,0.150017806426528
"46",0.01,18,700,1,0.56,1,0.608566715199173,39.0825189783388,9.68455911085238,0.0146145589303841,-0.566262425016021,0.129878881491074
"47",0.01,18,900,1,0.76,1,0.615424538723175,22.1852426433893,10.5430384536598,0.012320843322105,-0.349293209102428,0.112784590623226
"48",0.01,18,1100,1,0.84,1,0.481539805372837,22.5566190066159,6.86989122548329,0.00742053330136714,-0.269298750064571,0.0772962720437778
"49",0.01,18,1300,1,0.72,1,0.435011504948903,34.3668514078732,7.8640229029033,0.00886053922437378,-0.389906632153198,0.0808714274604885
"50",0.01,20,100,1,0.28,1,1.67433680039189,118.689251831898,16.3989128159816,0.0280287581125875,-1.04740036501325,0.193798457214502
"51",0.01,20,300,1,0.2,1,0.658954101231526,44.3649005762919,9.69735420730118,0.0166218142863897,-0.545355178803754,0.122931084778453
"52",0.01,20,500,1,0.36,1,0.631593368332062,43.3299870820004,6.3083220441949,0.0115897195981854,-0.577496759474886,0.0994818266627045
"53",0.01,20,700,1,0.64,1,0.490550845460843,33.3108642475175,7.07057482293305,0.011318782665042,-0.401655860819002,0.0861953441053287
"54",0.01,20,900,1,0.8,1,0.444682753581172,23.8559183431993,7.80221999687844,0.00965417931520069,-0.433425442323012,0.114678924126146
"55",0.01,20,1100,1,0.88,1,0.484483169179814,20.2088152201147,7.16176301319054,0.00872043519847439,-0.27401657048734,0.0924065673273202
"56",0.01,20,1300,1,0.88,1,0.282391002604752,23.3995835421078,6.97384139289884,0.00795363376747895,-0.356996286775157,0.0615854876578991
"57",0.025,6,100,1,0.28,0.32,10.5955981300646,69.1564290236727,46.5846113931543,0.186996955987793,-0.343512494648444,0.235564071113138
"58",0.025,6,300,1,0.36,0.8,5.07020020509423,38.1131124063122,37.8179012894747,0.114793683983708,-0.151640781386629,0.148806735540283
"59",0.025,6,500,1,0.72,1,4.83396696833798,33.3654777195613,24.8537966950403,0.0924431508450664,-0.192936944887036,0.104850760587539
"60",0.025,6,700,1,0.8,0.96,3.48612422481505,32.3753364744367,27.7571123063818,0.0685108375287313,-0.132957329560651,0.105696379859037
