"","effect_sizes","N_t","N_pers","pre_slope","step","slope","bias_pre_slope","bias_step","bias_slope","Precision_pre_slope","Precision_step","Precision_slope"
"1",0.01,6,100,1,0.09,0.02,-0.712580560982538,11.6219222340093,0,30,56,0
"2",0.01,6,300,1,0.14,0.02,0.502517662571036,-6.75347029576436,0,25,51,0
"3",0.01,6,500,1,0.23,0.02,-0.670005118212616,1.67975459344792,0,13,49,0
"4",0.01,6,700,1,0.25,0.04,0.281865524277333,3.15970196358802,0,11,48,0
"5",0.01,6,900,1,0.31,0.03,0.195150200804772,2.7582703705158,0,9,50,0
"6",0.01,6,1200,1,0.44,0.05,0.0411223193427076,3.69518034736945,0,6,50,0
"7",0.01,8,100,1,0.11,0.05,0.729284351985746,15.2143359627655,0,32,48,0
"8",0.01,8,300,1,0.19,0.01,0.29818876522971,-0.0694758669109265,0,14,43,0
"9",0.01,8,500,1,0.27,0.05,-0.00230016091840746,6.45234457583928,0,5,52,0
"10",0.01,8,700,1,0.29,0.05,0.226321842259422,-7.83514644311919,0,2,40,0
"11",0.01,8,900,1,0.36,0.03,0.288450715740541,-1.03950249070866,0,3,45,0
"12",0.01,8,1200,1,0.52,0.03,0.259515452990945,0.616723038335846,0,1,45,0
"13",0.01,10,100,1,0.11,0.09,-1.01164023972297,12.0856859658128,0,12,53,0
"14",0.01,10,300,1,0.19,0.03,0.19277718987499,4.36755777290724,0,6,56,0
"15",0.01,10,500,1,0.29,0.02,0.0143990130128643,-0.0301802287296155,0,2,44,0
"16",0.01,10,700,1,0.47,0.01,-0.199859704510395,0.29082087192612,0,0,52,0
"17",0.01,10,900,1,0.48,0.02,0.0693480309713128,-2.03144040508317,0,0,44,0
"18",0.01,10,1200,1,0.61,0.04,-0.0878221592828583,1.18831249450525,0,0,45,0
"19",0.01,12,100,1,0.1,0.05,0.270251451969118,1.14975268754745,0,10,49,0
"20",0.01,12,300,1,0.27,0.04,-0.0538286606736056,7.02455253853856,0,1,51,0
"21",0.01,12,500,1,0.39,0.06,-0.0496755866699755,5.38654753111929,0,0,50,0
"22",0.01,12,700,1,0.47,0.03,-0.175802902518477,3.84511036097735,0,0,47,0
"23",0.01,12,900,1,0.58,0.03,-0.207540064366313,1.62516957583129,0,0,48,0
"24",0.01,12,1200,1,0.75,0.04,-0.108889922539999,9.0480739404307,0,0,56,0
"25",0.01,14,100,1,0.05,0.07,0.756617996811664,-32.1510880319831,0,11,42,0
"26",0.01,14,300,1,0.24,0.05,0.0990199313220515,-0.554586929594257,0,1,47,0
"27",0.01,14,500,1,0.39,0.01,0.0441250647156849,-0.849828167118653,0,0,46,0
"28",0.01,14,700,1,0.58,0.06,-0.0998586010099025,8.557883333772,0,0,52,0
"29",0.01,14,900,1,0.58,0,-0.0167230968543263,2.635434472844,0,0,50,0
"30",0.01,14,1200,1,0.73,0.03,0.0824863808253521,0.699241980125903,0,0,48,0
"31",0.01,16,100,1,0.09,0.02,0.0738635894569457,-8.17030837313633,0,5,51,0
"32",0.01,16,300,1,0.31,0.02,-0.0032045279995192,1.53899950647767,0,0,45,0
"33",0.01,16,500,1,0.49,0.03,-0.104789198518134,3.67250763108802,0,0,53,0
