"","effect_sizes","N_t","N_pers","pre_slope","step","slope","bias_pre_slope","bias_step","bias_slope","Precision_pre_slope","Precision_step","Precision_slope"
"1",0.01,6,100,1,0.12,0.04,0.0947795354630598,-0.262174860611372,0.0233489205139483,0.0339669304838831,0.086261689032425,0.0378201673391802
"2",0.01,6,300,1,0.04,0.04,0.0473074945569905,-0.193836242343518,-0.0800866538816939,0.0193178337382604,0.0516694006580881,0.0219643437325916
"3",0.01,6,500,1,0.04,0.08,0.01801578761473,0.0200337139979827,-0.0344474819969887,0.0122218232846319,0.0299470856463241,0.0193270715492949
"4",0.01,6,700,1,0,0.04,0.0888158449159005,0.084599163525599,-0.220926629408226,0.0126023860291807,0.0259619915543295,0.0159265045894722
"5",0.01,6,900,1,0.12,0.04,0.0222860256519246,-0.0945937676920914,-0.0146473605682903,0.013399300757358,0.034486328478346,0.0161501599020356
"6",0.01,6,1100,1,0.12,0.04,-0.0193450045307347,-0.0649967941790464,0.0385322426638007,0.0122587926189421,0.0303980467165116,0.0128450579274281
"7",0.01,6,1300,1,0.08,0.04,0.0645515296939662,-0.0765621037517128,-0.104489327615669,0.011200628920583,0.0249558329852919,0.0137247091782261
"8",0.01,6,1500,1,0.04,0,0.0988859385532064,-0.221588571105765,-0.115210499502608,0.0101233530548294,0.0188187087377312,0.0135698773012133
"9",0.01,8,100,1,0,0.04,0.196203787827447,-0.572054817221651,-0.22105376671276,0.0194030692569431,0.0651095017225265,0.0234155012690713
"10",0.01,8,300,1,0.08,0,-0.00528776048412098,0.30752898772829,-0.0561711681961881,0.013064126498639,0.0377859834476123,0.0157638340660373
"11",0.01,8,500,1,0.04,0,0.0111019240809028,-0.343868611989561,0.0551180514204005,0.0112470837908748,0.037631588785931,0.0133782033750313
"12",0.01,8,700,1,0.04,0,0.0872204908623854,0.0150157019988676,-0.178858844815568,0.00852357619335679,0.0242422844476836,0.00941321808142383
"13",0.01,8,900,1,0.12,0.12,0.00801549370434742,0.162436377480342,-0.0230339208134339,0.00904858511239305,0.0270405083173148,0.0119848055498795
