"","effect_sizes","N_t","N_pers","pre_slope","step","slope","bias_pre_slope","bias_step","bias_slope","Precision_pre_slope","Precision_step","Precision_slope"
"1",0.01,6,100,0.75,0.058,0.061,0.208616313556242,0.04784375492333,-0.433033207091577,0.167535666892484,0.104659705353915,0.334056390778444
"2",0.01,6,300,0.993,0.069,0.076,-0.105577338850877,0.0717237474180594,0.202051360046283,0.100862345406879,0.0629600018867871,0.202005742721875
"3",0.01,6,500,1,0.063,0.052,0.0407876619490031,-0.0189170418571679,-0.0632487223250236,0.0756896127670483,0.0470777203497062,0.152470076395861
"4",0.01,6,700,1,0.064,0.076,0.00989233793765997,0.0458403903321151,-0.0433181118598446,0.0646681435181983,0.0399662527543711,0.130318223273
"5",0.01,6,900,1,0.059,0.055,0.00285098700724856,0.030342928148249,-0.0369348315406942,0.0535395322084612,0.0365391918285451,0.107505805464658
"6",0.01,6,1100,1,0.06,0.055,-0.0746893827397427,-0.00927337203285426,0.139314223187542,0.0493508453702124,0.0320049682622398,0.0989872656427579
"7",0.01,6,1300,1,0.061,0.063,0.0282766864206018,0.00848535247089475,-0.0699957384713455,0.0468533799543809,0.0296458401519682,0.0935923410946558
"8",0.01,6,1500,1,0.062,0.064,-0.0746844992878031,-0.0666247783875527,0.174463862329882,0.0430471397261298,0.0269680424644222,0.0868177817233373
"9",0.01,8,100,0.996,0.057,0.053,0.0194850605398714,0.016851759591615,-0.0665755351115679,0.0892568240309525,0.0918624924732493,0.179994418519838
"10",0.01,8,300,1,0.05,0.065,0.0783367908582076,0.0862634686160897,-0.182839851666443,0.052957195047956,0.0527401481989188,0.106826715496907
"11",0.01,8,500,1,0.044,0.044,-0.0511861352059844,0.0239465914818788,0.102863849853961,0.0393821417720518,0.0398689072823124,0.0793167656644984
"12",0.01,8,700,1,0.063,0.05,-0.0294189686728376,0.0450051479938198,0.0339024441706745,0.033400514664231,0.034985422603396,0.0675508086300767
"13",0.01,8,900,1,0.053,0.052,0.0835494206276066,0.0375813209166466,-0.193324700579848,0.0301897580685474,0.0297745626497119,0.0607405375095995
"14",0.01,8,1100,1,0.051,0.063,-0.0751466452714736,-0.0046503864368077,0.174554900366505,0.0276339593603703,0.0267935857193361,0.0562478595622235
"15",0.01,8,1300,1,0.061,0.058,0.0258220228650365,-0.0202423182154271,-0.0404063203807094,0.0254171345874922,0.0256869191882631,0.0514549697393211
"16",0.01,8,1500,1,0.065,0.053,-0.0417345436736021,0.0273808003905447,0.0695612219531017,0.0225060123360805,0.0232556887894562,0.0455539446675196
"17",0.01,10,100,1,0.058,0.054,0.0439719101472639,0.128499016069619,-0.129223356722818,0.059376151400787,0.0817750238221862,0.118053503916034
"18",0.01,10,300,1,0.051,0.046,-0.0442520299875857,0.0238033531242869,0.0779167640057129,0.0345551615999279,0.0478795296960013,0.0696947920830087
"19",0.01,10,500,1,0.058,0.044,0.0508896985050782,0.0114968640072973,-0.108474372603095,0.0269947832988666,0.0367868334644079,0.0539520576213871
"20",0.01,10,700,1,0.056,0.047,0.0157404897680687,0.000514619749741997,-0.031719161573412,0.0221654663248226,0.030652085935507,0.0448316399660021
"21",0.01,10,900,1,0.051,0.046,-0.00260630000157775,0.0359156855922947,-0.00361012909114585,0.0195944514057441,0.0272589351632382,0.0396989767370667
"22",0.01,10,1100,1,0.056,0.047,-0.0204163512393418,0.00428636565710455,0.0443137244734932,0.0182622960010751,0.0240406408615887,0.0366361499812445
"23",0.01,10,1300,1,0.056,0.049,-0.0125156693258994,0.0392863803131479,0.0159225193106116,0.0165714865183838,0.0228139484281523,0.0335135326453153
"24",0.01,10,1500,1,0.056,0.071,0.0108391610226543,0.0154600207580154,-0.0247735021585799,0.0164626583896562,0.0208000571950592,0.0332173160740158
"25",0.01,12,100,1,0.052,0.046,0.0799403721288488,-0.0368086234141659,-0.141244067979102,0.0425195266608251,0.0749307356742165,0.0858355232966774
"26",0.01,12,300,1,0.043,0.048,0.012557218365786,0.0886410097879051,-0.043609331251311,0.0262716013912988,0.0416128979107981,0.0524823388655222
"27",0.01,12,500,1,0.063,0.05,0.0170082664373573,-0.025210748558142,-0.0314333142975421,0.0194769269058114,0.0335563832047075,0.0393917000175043
"28",0.01,12,700,1,0.055,0.039,-0.00990564867139613,0.0293177929210586,0.0138499935542676,0.0162997222301681,0.0279023928262021,0.0326028963659364
"29",0.01,12,900,1,0.046,0.05,-0.0121967124371143,-0.0183070495946873,0.028405569062747,0.0147480285174074,0.0241190391706917,0.0295643120995166
"30",0.01,12,1100,1,0.046,0.054,0.0209092076897281,-0.0111223047972663,-0.0375825888207388,0.0131835999651229,0.0218672836282862,0.0266812253891001
"31",0.01,12,1300,1,0.064,0.043,-0.0139080823138473,0.0185676227958563,0.0272727077276076,0.0120570108592309,0.0211915442798777,0.0242778128037496
"32",0.01,12,1500,1,0.048,0.057,0.00618166243487835,0.0117559803895115,-0.0152638272382105,0.0115442454011834,0.0185633075278528,0.0230469679744208
"33",0.01,14,100,1,0.045,0.038,-0.0420971626504384,-0.0624653596565432,0.0996381426414484,0.0331038577546168,0.0687236712926513,0.0670582576498218
"34",0.01,14,300,1,0.046,0.049,0.00588102682092661,-0.0419500350296796,-0.011838754795355,0.0202549766139633,0.037506785178344,0.0408952059307152
"35",0.01,14,500,1,0.042,0.042,0.0206677329372351,0.0327648613498839,-0.0510986851422308,0.0156589053743467,0.0305343323237358,0.0312175271600623
"36",0.01,14,700,1,0.052,0.045,0.0149241888983065,0.0391130620858665,-0.032098980197727,0.0127323573042704,0.0257770172700883,0.0257374765441895
"37",0.01,14,900,1,0.061,0.046,-0.000937875332829238,-0.0235238092693032,0.011310420896616,0.0116034792504254,0.0231421031815447,0.0232820311813916
"38",0.01,14,1100,1,0.027,0.057,0.0145971163903999,0.00182624424151269,-0.0323430298141913,0.0103692845620561,0.0188601674790867,0.0209717664418732
"39",0.01,14,1300,1,0.051,0.04,-0.0143839601467149,-0.0145181620222671,0.0307522292225977,0.00933166895504688,0.0190541389506516,0.0189605280250563
"40",0.01,14,1500,1,0.055,0.051,0.00130762908344689,0.0271351476521751,-0.0127171925778638,0.00902922384014505,0.0176952372036788,0.0178321059956022
"41",0.01,16,100,1,0.04,0.051,0.0379359128740969,-0.0179959470071803,-0.070646806847614,0.0282998957668663,0.0632082811144506,0.0569399839222928
"42",0.01,16,300,1,0.051,0.047,-0.00203771931442247,-0.00333881344185987,-0.00130451585592278,0.0159428503767464,0.0357343427495098,0.0319055210536785
"43",0.01,16,500,1,0.048,0.045,-0.0315563920269498,0.00665330519890871,0.0649225678970884,0.0126830085604462,0.0278512881155208,0.0255730524705014
"44",0.01,16,700,1,0.055,0.042,-0.000836191111164368,0.000821898167740194,0.000237692807335155,0.0104696413222233,0.0243663708711378,0.0209839658516835
"45",0.01,16,900,1,0.056,0.041,0.00322522647315871,-0.0367198010725592,0.00158356696256549,0.00891720903702852,0.0214044428262771,0.0178942237011462
