"","effect_sizes","N_t","N_pers","pre_slope","step","slope","bias_pre_slope","bias_step","bias_slope","Precision_pre_slope","Precision_step","Precision_slope"
"1",0.01,6,100,0.68,0,0.16,-1.64848750997869,0.0375312453250451,3.41067521421713,0.180864252686155,0.10135365115845,0.362974958281196
"2",0.01,6,300,1,0.04,0.16,-0.209476463499098,1.14350567420191,0.0605849971974546,0.117491621525637,0.0404375936384097,0.233190363490913
"3",0.01,6,500,1,0.04,0.08,-0.196096564253481,-0.159802219117563,0.60521077469059,0.0725475455881379,0.048674107539889,0.149383441383655
"4",0.01,6,700,1,0,0.04,0.0177062002946251,0.121191017702224,-0.0613883043136589,0.0638536257722206,0.0334245460980649,0.122080225031451
"5",0.01,6,900,1,0.04,0.04,0.340961803116251,-0.0687771798918633,-0.641886658124541,0.0447314681083141,0.0361143713738278,0.0917873788359782
"6",0.01,6,1100,1,0.04,0.2,-0.157293296664305,-0.121903955377728,0.305970540906246,0.0632911650109928,0.0312527563317947,0.124984351151053
"7",0.01,6,1300,1,0.04,0.04,0.57073245005954,-0.205157134906792,-1.00330328546233,0.0497982869108932,0.0259233733293451,0.101446501439437
"8",0.01,6,1500,1,0,0.08,0.0241526716318791,0.0365084660359801,-0.113506142762482,0.0568958919642164,0.0289222761369574,0.114871874102959
"9",0.01,8,100,1,0,0,-0.0419498246389097,-0.140240327953877,0.148541271321122,0.0735391518575738,0.0835599495586635,0.143861384044113
"10",0.01,8,300,1,0.08,0,0.288695532524572,0.00780188783808398,-0.478843477040175,0.0432140310513675,0.0557419596333047,0.0929914374693576
"11",0.01,8,500,1,0,0,-0.137937976429656,0.409970642655503,0.211857820499426,0.0345232252280695,0.0350894689857006,0.0686040885855309
"12",0.01,8,700,1,0.04,0.16,0.299056619367308,0.0940251923359055,-0.663002540897608,0.0356847142064243,0.0331230934523094,0.073748791593383
"13",0.01,8,900,1,0.04,0.12,0.190374973980829,-0.377096479024325,-0.239673285110253,0.0338108439206101,0.0299219412004681,0.0699093035609504
"14",0.01,8,1100,1,0.28,0.04,-0.0367568760285504,0.306326355584143,-0.0184994006555497,0.0279877623443805,0.0428988020616367,0.0518560004378443
"15",0.01,8,1300,1,0.08,0.16,-0.266781670857253,0.29903962309522,0.384680915143895,0.031785826081105,0.0298601747282039,0.0611736437571699
"16",0.01,8,1500,1,0.08,0.04,0.16152907680544,-0.177195564532548,-0.249848340778091,0.0212683571982464,0.0239948594344616,0.0448143719785977
"17",0.01,10,100,1,0,0.08,-0.188940598485536,0.26765840152313,0.306083799002937,0.0664383219441952,0.0824143120779409,0.136382393604733
"18",0.01,10,300,1,0.04,0.04,-0.275644365339723,-0.25177717635286,0.590468860626634,0.0359935117764232,0.0442803140620403,0.0696940258551424
"19",0.01,10,500,1,0,0.04,-0.0368073275159496,0.0439220820080299,0.0865445224429774,0.0273343119574522,0.026800739049203,0.0552862111404704
"20",0.01,10,700,1,0.04,0.04,-0.173247894894288,0.492890522575511,0.21738457710576,0.0228549237858464,0.0311300793640906,0.045457154700731
"21",0.01,10,900,1,0.12,0,0.00106712216794712,-0.212263444211021,-0.0024142783169448,0.0165209079832199,0.0295041028757349,0.0325348886381674
"22",0.01,10,1100,1,0.08,0.16,-0.0832267658452213,-0.0939411789509421,0.171989892493622,0.0219987308497266,0.0244277016622481,0.0455175260365151
"23",0.01,10,1300,1,0.16,0.12,-0.039250402438632,-0.162450692249635,0.145344649619496,0.0209777670679299,0.022366281245531,0.0395944139877049
"24",0.01,10,1500,1,0.04,0,0.1262772815771,-0.00632113230503822,-0.294786219229036,0.0128609636834184,0.0213419138120702,0.0265513204257093
"25",0.01,12,100,1,0.04,0.04,0.0570621391541928,-0.190940243196094,-0.198960781212394,0.0449753013824502,0.0746438939861092,0.0885794701839844
"26",0.01,12,300,1,0,0,-0.189285907323764,0.206784254890948,0.341627298362446,0.0253296909278992,0.0424681231179311,0.051780544949438
"27",0.01,12,500,1,0.04,0,0.140527163755295,-0.277444373437963,-0.242094605313189,0.0131562187655486,0.0318982005911049,0.0288821046693785
"28",0.01,12,700,1,0.04,0.08,-0.181888106202687,0.103708742280642,0.329696183597367,0.0178823741513341,0.025827283988373,0.0353151322195719
"29",0.01,12,900,1,0.08,0.04,-0.00472790648403652,-0.139037351450275,0.0636278639259807,0.0162969119792574,0.0270313109048192,0.0321341175393318
"30",0.01,12,1100,1,0.12,0.04,0.0734391847098849,0.091354518889383,-0.157872735948497,0.0100460105798059,0.0320367585381055,0.0229178449110846
"31",0.01,12,1300,1,0,0.08,-0.0762431688902237,0.265323013077925,0.108733788863583,0.0141278705836251,0.0162820690037414,0.0285263118914193
"32",0.01,12,1500,1,0.04,0,0.101855943997309,-0.0218818175269293,-0.210000688136095,0.0129925021102557,0.0204999369037802,0.0244966144730042
"33",0.01,14,100,1,0.12,0.04,-0.131048707324111,0.520963801043264,0.163589127307595,0.0396963111023698,0.0702353266866376,0.0753099023143658
"34",0.01,14,300,1,0,0.04,0.179398409274421,0.191020799785704,-0.40594508771357,0.0236006254842271,0.0313863272310287,0.0461746495856147
"35",0.01,14,500,1,0.04,0.08,-0.095293635366947,0.00485052419851814,0.185951150831464,0.0165093676448768,0.0315673043474301,0.033884199481107
"36",0.01,14,700,1,0.12,0.04,0.0584911242762873,-0.157845468184547,-0.127776203284052,0.0118034426343038,0.0276154502982994,0.0240626993398596
"37",0.01,14,900,1,0.08,0.04,0.028865054649561,0.0120315043491851,-0.0668249554471427,0.0107782212454203,0.0254839519673132,0.0211245713766352
"38",0.01,14,1100,1,0.04,0.04,0.0201727019088072,-0.048672864033135,-0.0636429404733136,0.00874932207616164,0.0194449713740864,0.0176808741383959
"39",0.01,14,1300,1,0.12,0.04,-0.00380943598324748,-0.0441635156204171,0.0208505883245531,0.0084256470766356,0.0199468092964725,0.0167986748029547
"40",0.01,14,1500,1,0.04,0,-0.0141011075646408,-0.0431937406007333,0.0343966987368873,0.00847022295069528,0.0154486459402559,0.0172758041362608
"41",0.01,16,100,1,0,0.08,-0.324656534231911,0.204119386768637,0.592658910334845,0.0305549253364953,0.0636610515230518,0.0615023379244532
"42",0.01,16,300,1,0,0.04,0.11294093078384,-0.5223584703759,-0.12107177596302,0.0141282772131132,0.0287600302988743,0.0296272712432197
"43",0.01,16,500,1,0,0.08,-0.0313896460978815,0.101867663831001,0.040254704631618,0.015501044490344,0.0251514222636906,0.0301021727425102
"44",0.01,16,700,1,0.04,0.08,0.0407304150260029,-0.0535643850238981,-0.0735344937435493,0.0108550962658338,0.0236386164198086,0.0219304702318215
"45",0.01,16,900,1,0.08,0.04,-0.0965676951963032,0.149190340668471,0.154981620544737,0.00984497668876201,0.0211194095126941,0.0188599902916558
"46",0.01,16,1100,1,0,0.08,0.0544663732144196,0.176947423821279,-0.145914385049862,0.00932377163298829,0.016581701705696,0.0182914403321485
"47",0.01,16,1300,1,0,0.04,0.0247462282304168,-0.209514094354216,-0.0195146432137336,0.00718852632051124,0.0150617002436496,0.0140128652806334
"48",0.01,16,1500,1,0.04,0.16,0.0414061675870249,-0.0720404440129018,-0.0565499434525337,0.00727996647309816,0.016163763259964,0.0154545805601059
"49",0.01,18,100,1,0.04,0,-0.137274846224898,-0.23239370782419,0.343249601672471,0.0187329766276829,0.0528429896885175,0.0356119677264358
"50",0.01,18,300,1,0.12,0.04,0.00534431481385646,-0.231927003128186,0.0397639794671688,0.0119718937688007,0.0412138782238272,0.0242782396224956
"51",0.01,18,500,1,0.04,0.08,0.00360018428772328,-0.0560004584860053,-0.0342330145625251,0.0100685296586132,0.0269095369483327,0.0205376979099912
"52",0.01,18,700,1,0,0.04,-0.0865225693960325,-0.00219283265809964,0.18662658730649,0.00897269800157833,0.0222939369659106,0.0175225092490981
"53",0.01,18,900,1,0,0.12,0.0812530088026777,-0.0923097116708779,-0.16512127131822,0.00793433492482194,0.0209416243425607,0.0154773607436449
